p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,1,1,1,1,60,1,34,1,1,1,1,1
1,1,1,1,1,33,1,5,1,1,1,1,1
1,1,1,1,1,2,1,10,1,1,1,1,1
1,1,1,1,1,70,1,12,1,1,1,1,1
1,1,1,4,1,44,1,8,1,1,1,1,1
1,1,1,1,1,38,1,10,1,1,1,1,1
1,1,1,1,1,15,1,29,1,1,1,1,1
1,1,1,1,1,1,1,9,1,1,1,1,1
1,1,1,1,1,72,1,18,1,1,1,1,1
1,1,1,3,1,9,1,20,1,1,1,1,1
1,1,1,3,1,9,1,13,1,1,1,1,1
1,1,1,1,1,3,1,2,1,1,1,1,1
1,1,1,1,1,67,1,28,1,1,1,1,1
1,1,1,2,1,13,1,22,1,1,1,1,1
1,1,1,3,1,126,1,44,1,1,1,1,1
1,1,1,1,1,7,1,15,1,1,1,1,1
1,1,1,1,1,65,1,18,1,1,1,1,1
1,1,1,3,1,99,1,32,1,1,1,1,1
1,1,1,2,1,24,1,65,1,1,1,1,1
1,1,1,3,1,13,1,4,1,1,1,1,1
1,1,1,2,1,30,1,7,1,1,1,1,1
1,1,1,1,1,57,1,4,1,1,1,1,1
1,1,1,1,1,23,1,3,1,1,1,1,1
1,1,1,1,1,38,1,7,1,1,1,1,1
1,1,1,1,1,10,1,25,1,1,1,1,1
1,1,1,1,1,19,1,9,1,1,1,1,1
1,1,1,2,1,10,1,17,1,1,1,1,1
1,1,1,1,1,16,1,25,1,1,1,1,1
1,1,1,1,1,50,1,16,1,1,1,1,1
1,1,1,2,1,48,1,19,1,1,1,1,1
1,1,1,1,1,99,1,1,1,1,1,1,1
1,1,1,2,1,9,1,15,1,1,1,1,1
1,1,1,2,1,29,1,16,1,1,1,1,1
1,1,1,2,1,8,1,5,1,1,1,1,1
1,1,1,1,1,17,1,13,1,1,1,1,1
1,1,1,1,1,25,1,3,1,1,1,1,1
1,1,1,1,1,33,1,2,1,1,1,1,1
1,1,1,1,1,71,1,6,1,1,1,1,1
1,1,1,1,1,4,1,1,1,1,1,1,1
1,1,1,2,1,32,1,25,1,1,1,1,1
1,1,1,1,1,108,1,21,1,1,1,1,1
1,1,1,2,1,7,1,9,1,1,1,1,1
1,1,1,2,1,64,1,34,1,1,1,1,1
1,1,1,1,1,10,1,1,1,1,1,1,1
1,1,1,1,1,34,1,15,1,1,1,1,1
1,1,1,1,1,136,1,16,1,1,1,1,1
1,1,1,1,1,8,1,35,1,1,1,1,1
1,1,1,1,1,9,1,5,1,1,1,1,1
1,1,1,1,1,13,1,22,1,1,1,1,1
1,1,1,2,1,26,1,23,1,1,1,1,1
1,1,1,1,1,43,1,17,1,1,1,1,1
1,1,1,1,1,34,1,5,1,1,1,1,1
1,1,1,1,1,23,1,1,1,1,1,1,1
1,1,1,1,1,182,1,21,1,1,1,1,1
1,1,1,1,1,24,1,3,1,1,1,1,1
1,1,1,1,1,19,1,21,1,1,1,1,1
1,1,1,2,1,45,1,9,1,1,1,1,1
1,1,1,2,1,79,1,39,1,1,1,1,1
1,1,1,1,1,25,1,11,1,1,1,1,1
1,1,1,1,1,6,1,7,1,1,1,1,1
1,1,1,1,1,9,1,19,1,1,1,1,1
1,1,1,1,1,36,1,30,1,1,1,1,1
1,1,1,2,1,28,1,30,1,1,1,1,1
1,1,1,3,1,26,1,32,1,1,1,1,1
1,1,1,1,1,2,1,9,1,1,1,1,1
1,1,1,1,1,166,1,5,1,1,1,1,1
1,1,1,1,1,2,1,30,1,1,1,1,1
1,1,1,1,1,15,1,3,1,1,1,1,1
1,1,1,1,1,9,1,24,1,1,1,1,1
1,1,1,1,1,78,1,8,1,1,1,1,1
1,1,1,1,1,3,1,26,1,1,1,1,1
1,1,1,1,1,68,1,5,1,1,1,1,1
1,1,1,1,1,64,1,1,1,1,1,1,1
1,1,1,2,1,54,1,34,1,1,1,1,1
1,1,1,1,1,12,1,6,1,1,1,1,1
1,1,1,1,1,72,1,9,1,1,1,1,1
1,1,1,1,1,156,1,24,1,1,1,1,1
1,1,1,2,1,125,1,13,1,1,1,1,1
1,1,1,1,1,121,1,4,1,1,1,1,1
1,1,1,1,1,18,1,17,1,1,1,1,1
1,1,1,1,1,34,1,20,1,1,1,1,1
1,1,1,2,1,36,1,2,1,1,1,1,1
1,1,1,1,1,19,1,9,1,1,1,1,1
1,1,1,1,1,16,1,13,1,1,1,1,1
1,1,1,1,1,16,1,8,1,1,1,1,1
1,1,1,2,1,10,1,19,1,1,1,1,1
1,1,1,2,1,103,1,11,1,1,1,1,1
1,1,1,1,1,15,1,3,1,1,1,1,1
1,1,1,1,1,1,1,64,1,1,1,1,1
1,1,1,1,1,43,1,22,1,1,1,1,1
1,1,1,1,1,22,1,6,1,1,1,1,1
1,1,1,1,1,55,1,21,1,1,1,1,1
1,1,1,1,1,30,1,7,1,1,1,1,1
1,1,1,2,1,33,1,2,1,1,1,1,1
1,1,1,1,1,44,1,12,1,1,1,1,1
1,1,1,1,1,11,1,16,1,1,1,1,1
1,1,1,1,1,24,1,12,1,1,1,1,1
1,1,1,1,1,125,1,24,1,1,1,1,1
1,1,1,1,1,48,1,19,1,1,1,1,1
1,1,1,3,1,11,1,4,1,1,1,1,1
