p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,1,1,1,1,76,1,3,1,1,12,2,1
1,1,1,2,1,105,1,8,1,1,8,2,1
1,1,1,1,1,80,1,2,1,1,4,16,1
1,1,1,1,1,4,1,29,1,1,6,8,1
1,1,1,1,1,22,1,4,1,1,1,23,1
1,1,1,1,1,53,1,4,1,1,2,14,1
1,1,1,1,1,21,1,2,1,1,2,8,1
1,1,1,1,1,19,1,7,1,1,5,14,1
1,1,1,1,1,64,1,17,1,1,7,9,1
1,1,1,1,1,200,1,21,1,1,4,3,1
1,1,1,1,1,103,1,5,1,1,4,7,1
1,1,1,3,1,14,1,8,1,1,5,11,1
1,1,1,4,1,18,1,9,1,1,5,15,1
1,1,1,1,1,68,1,3,1,1,12,3,1
1,1,1,1,1,9,1,2,1,1,2,19,1
1,1,1,2,1,13,1,5,1,1,9,2,1
1,1,1,2,1,32,1,10,1,1,7,31,1
1,1,1,1,1,35,1,19,1,1,5,1,1
1,1,1,1,1,182,1,22,1,1,3,13,1
1,1,1,2,1,84,1,7,1,1,10,17,1
1,1,1,1,1,27,1,10,1,1,21,7,1
1,1,1,1,1,4,1,38,1,1,13,6,1
1,1,1,3,1,18,1,13,1,1,27,5,1
1,1,1,1,1,71,1,3,1,1,10,5,1
1,1,1,1,1,30,1,4,1,1,6,8,1
1,1,1,1,1,105,1,8,1,1,10,2,1
1,1,1,1,1,44,1,2,1,1,13,27,1
1,1,1,1,1,163,1,2,1,1,3,30,1
1,1,1,1,1,5,1,4,1,1,7,3,1
1,1,1,1,1,17,1,16,1,1,12,3,1
1,1,1,1,1,3,1,49,1,1,4,6,1
1,1,1,1,1,2,1,18,1,1,3,26,1
1,1,1,1,1,29,1,12,1,1,1,8,1
1,1,1,2,1,83,1,7,1,1,4,9,1
1,1,1,1,1,23,1,33,1,1,9,20,1
1,1,1,2,1,33,1,18,1,1,2,39,1
1,1,1,1,1,72,1,1,1,1,1,18,1
1,1,1,1,1,129,1,6,1,1,18,6,1
1,1,1,2,1,41,1,2,1,1,2,14,1
1,1,1,1,1,163,1,14,1,1,16,6,1
1,1,1,2,1,92,1,13,1,1,3,2,1
1,1,1,1,1,2,1,36,1,1,4,28,1
1,1,1,1,1,48,1,24,1,1,11,3,1
1,1,1,1,1,30,1,17,1,1,20,7,1
1,1,1,1,1,46,1,3,1,1,3,1,1
1,1,1,1,1,65,1,2,1,1,7,6,1
1,1,1,5,1,42,1,11,1,1,13,21,1
1,1,1,2,1,90,1,7,1,1,4,5,1
1,1,1,1,1,138,1,9,1,1,2,23,1
1,1,1,3,1,24,1,14,1,1,9,8,1
1,1,1,1,1,62,1,1,1,1,1,13,1
1,1,1,2,1,39,1,18,1,1,37,4,1
1,1,1,1,1,11,1,20,1,1,1,2,1
1,1,1,1,1,33,1,24,1,1,7,6,1
1,1,1,2,1,23,1,16,1,1,7,2,1
1,1,1,1,1,54,1,10,1,1,13,7,1
1,1,1,1,1,1,1,5,1,1,5,29,1
1,1,1,1,1,21,1,4,1,1,13,5,1
1,1,1,1,1,19,1,28,1,1,8,4,1
1,1,1,3,1,134,1,15,1,1,3,11,1
1,1,1,1,1,43,1,1,1,1,1,22,1
1,1,1,1,1,77,1,10,1,1,1,18,1
1,1,1,1,1,111,1,34,1,1,4,22,1
1,1,1,1,1,21,1,5,1,1,1,6,1
1,1,1,5,1,9,1,8,1,1,11,10,1
1,1,1,1,1,37,1,3,1,1,23,30,1
1,1,1,1,1,29,1,30,1,1,6,7,1
1,1,1,1,1,18,1,3,1,1,5,6,1
1,1,1,1,1,21,1,13,1,1,4,3,1
1,1,1,1,1,52,1,9,1,1,1,29,1
1,1,1,1,1,4,1,19,1,1,9,38,1
1,1,1,1,1,9,1,12,1,1,11,6,1
1,1,1,1,1,137,1,2,1,1,2,27,1
1,1,1,2,1,53,1,9,1,1,9,21,1
1,1,1,1,1,41,1,6,1,1,3,9,1
1,1,1,1,1,51,1,28,1,1,5,1,1
1,1,1,1,1,23,1,12,1,1,12,5,1
1,1,1,1,1,4,1,13,1,1,1,3,1
1,1,1,1,1,24,1,7,1,1,6,9,1
1,1,1,1,1,11,1,8,1,1,1,4,1
1,1,1,2,1,28,1,15,1,1,7,2,1
1,1,1,2,1,25,1,16,1,1,16,2,1
1,1,1,3,1,11,1,8,1,1,9,4,1
1,1,1,3,1,77,1,6,1,1,6,3,1
1,1,1,1,1,17,1,1,1,1,1,6,1
1,1,1,1,1,7,1,30,1,1,1,20,1
1,1,1,2,1,20,1,1,1,1,10,21,1
1,1,1,2,1,13,1,10,1,1,19,4,1
1,1,1,2,1,218,1,15,1,1,2,25,1
1,1,1,1,1,24,1,2,1,1,3,28,1
1,1,1,1,1,38,1,29,1,1,7,2,1
1,1,1,2,1,32,1,2,1,1,5,2,1
1,1,1,1,1,60,1,5,1,1,5,19,1
1,1,1,1,1,6,1,30,1,1,2,3,1
1,1,1,1,1,27,1,2,1,1,2,9,1
1,1,1,2,1,23,1,19,1,1,2,29,1
1,1,1,1,1,52,1,14,1,1,4,6,1
1,1,1,2,1,56,1,14,1,1,34,5,1
1,1,1,2,1,72,1,17,1,1,19,2,1
1,1,1,2,1,30,1,4,1,1,2,6,1
1,1,1,1,1,155,1,3,1,1,35,10,1
1,1,1,1,1,16,1,2,1,1,15,2,1
1,1,1,3,1,39,1,13,1,1,5,27,1
1,1,1,1,1,175,1,26,1,1,1,5,1
1,1,1,1,1,82,1,6,1,1,1,5,1
1,1,1,2,1,34,1,2,1,1,17,22,1
1,1,1,1,1,68,1,5,1,1,1,5,1
1,1,1,2,1,28,1,5,1,1,12,4,1
1,1,1,1,1,10,1,2,1,1,2,22,1
1,1,1,1,1,56,1,41,1,1,38,13,1
1,1,1,1,1,37,1,14,1,1,5,1,1
1,1,1,1,1,13,1,27,1,1,4,46,1
1,1,1,2,1,60,1,6,1,1,17,4,1
1,1,1,2,1,96,1,14,1,1,21,4,1
1,1,1,4,1,35,1,5,1,1,15,17,1
1,1,1,1,1,51,1,9,1,1,1,9,1
1,1,1,2,1,10,1,18,1,1,3,17,1
1,1,1,1,1,26,1,23,1,1,5,3,1
1,1,1,1,1,28,1,7,1,1,3,9,1
1,1,1,1,1,26,1,12,1,1,5,10,1
1,1,1,3,1,18,1,13,1,1,6,11,1
1,1,1,2,1,38,1,1,1,1,5,24,1
1,1,1,2,1,50,1,6,1,1,6,7,1
