p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,1,1,1,1,8,1,1,1,6,1,1,1
1,3,1,61,1,61,1,1,1,7,1,1,1
1,2,1,77,1,50,1,1,1,4,1,1,1
1,1,1,17,1,15,1,1,1,7,1,1,1
1,1,1,4,1,4,1,1,1,9,1,1,1
1,1,1,51,1,19,1,1,1,1,1,1,1
1,2,1,35,1,11,1,1,1,3,1,1,1
1,2,1,21,1,21,1,1,1,1,1,1,1
1,1,1,59,1,24,1,1,1,2,1,1,1
1,12,1,39,1,39,1,1,1,3,1,1,1
1,3,1,18,1,18,1,1,1,1,1,1,1
1,5,1,26,1,26,1,1,1,1,1,1,1
1,7,1,15,1,15,1,1,1,4,1,1,1
1,1,1,7,1,7,1,1,1,5,1,1,1
1,1,1,61,1,23,1,1,1,2,1,1,1
1,1,1,14,1,14,1,1,1,7,1,1,1
1,1,1,1,1,1,1,1,1,2,1,1,1
1,1,1,136,1,16,1,1,1,3,1,1,1
1,5,1,8,1,8,1,1,1,1,1,1,1
1,3,1,35,1,35,1,1,1,5,1,1,1
1,3,1,19,1,19,1,1,1,1,1,1,1
1,1,1,1,1,5,1,1,1,7,1,1,1
1,6,1,45,1,45,1,1,1,4,1,1,1
1,2,1,26,1,26,1,1,1,6,1,1,1
1,2,1,10,1,4,1,1,1,8,1,1,1
1,1,1,26,1,26,1,1,1,4,1,1,1
1,3,1,32,1,32,1,1,1,5,1,1,1
1,2,1,1,1,8,1,1,1,6,1,1,1
1,1,1,24,1,24,1,1,1,2,1,1,1
1,3,1,75,1,19,1,1,1,2,1,1,1
1,4,1,132,1,5,1,1,1,1,1,1,1
1,6,1,17,1,17,1,1,1,2,1,1,1
1,2,1,18,1,18,1,1,1,1,1,1,1
1,1,1,29,1,29,1,1,1,1,1,1,1
1,1,1,80,1,5,1,1,1,1,1,1,1
1,1,1,108,1,108,1,1,1,1,1,1,1
1,1,1,3,1,3,1,1,1,4,1,1,1
1,2,1,15,1,15,1,1,1,1,1,1,1
1,4,1,25,1,16,1,1,1,1,1,1,1
1,1,1,55,1,23,1,1,1,1,1,1,1
1,3,1,1,1,3,1,1,1,1,1,1,1
1,2,1,9,1,9,1,1,1,1,1,1,1
1,5,1,1,1,9,1,1,1,1,1,1,1
1,1,1,18,1,9,1,1,1,7,1,1,1
1,3,1,52,1,27,1,1,1,1,1,1,1
1,1,1,90,1,57,1,1,1,4,1,1,1
1,2,1,16,1,16,1,1,1,1,1,1,1
1,2,1,41,1,41,1,1,1,2,1,1,1
1,1,1,9,1,9,1,1,1,7,1,1,1
1,3,1,57,1,57,1,1,1,5,1,1,1
1,1,1,20,1,20,1,1,1,6,1,1,1
1,2,1,12,1,12,1,1,1,1,1,1,1
1,1,1,62,1,46,1,1,1,4,1,1,1
1,5,1,19,1,13,1,1,1,5,1,1,1
1,1,1,10,1,10,1,1,1,1,1,1,1
1,4,1,27,1,27,1,1,1,2,1,1,1
1,3,1,161,1,15,1,1,1,7,1,1,1
1,6,1,18,1,18,1,1,1,2,1,1,1
1,7,1,50,1,50,1,1,1,1,1,1,1
1,1,1,15,1,15,1,1,1,5,1,1,1
1,1,1,20,1,20,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,6,1,1,1
1,4,1,18,1,18,1,1,1,5,1,1,1
1,2,1,351,1,83,1,1,1,4,1,1,1
1,5,1,104,1,97,1,1,1,1,1,1,1
1,2,1,96,1,63,1,1,1,3,1,1,1
1,4,1,41,1,4,1,1,1,1,1,1,1
1,2,1,145,1,72,1,1,1,9,1,1,1
1,7,1,176,1,38,1,1,1,10,1,1,1
1,2,1,1,1,2,1,1,1,9,1,1,1
1,4,1,61,1,17,1,1,1,1,1,1,1
1,1,1,28,1,9,1,1,1,4,1,1,1
1,1,1,9,1,9,1,1,1,3,1,1,1
1,1,1,60,1,24,1,1,1,3,1,1,1
1,3,1,12,1,12,1,1,1,1,1,1,1
1,1,1,55,1,30,1,1,1,1,1,1,1
1,4,1,52,1,30,1,1,1,1,1,1,1
1,5,1,1,1,5,1,1,1,18,1,1,1
1,2,1,66,1,59,1,1,1,9,1,1,1
1,3,1,79,1,31,1,1,1,1,1,1,1
1,2,1,121,1,51,1,1,1,6,1,1,1
1,1,1,1,1,14,1,1,1,4,1,1,1
1,1,1,18,1,4,1,1,1,2,1,1,1
1,1,1,86,1,8,1,1,1,1,1,1,1
1,2,1,26,1,26,1,1,1,2,1,1,1
1,1,1,3,1,3,1,1,1,2,1,1,1
1,2,1,11,1,11,1,1,1,1,1,1,1
1,1,1,1,1,4,1,1,1,2,1,1,1
1,4,1,169,1,88,1,1,1,2,1,1,1
1,1,1,114,1,11,1,1,1,12,1,1,1
1,1,1,47,1,47,1,1,1,3,1,1,1
1,1,1,1,1,1,1,1,1,3,1,1,1
1,1,1,88,1,19,1,1,1,4,1,1,1
1,1,1,156,1,156,1,1,1,10,1,1,1
1,1,1,83,1,50,1,1,1,4,1,1,1
1,2,1,92,1,39,1,1,1,2,1,1,1
1,1,1,19,1,19,1,1,1,3,1,1,1
1,1,1,24,1,24,1,1,1,2,1,1,1
1,2,1,8,1,8,1,1,1,4,1,1,1
1,1,1,23,1,20,1,1,1,2,1,1,1
