p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,1,1,23,1,23,1,1,1,9,1,1,1
1,2,1,1,1,2,1,1,1,13,1,1,1
1,1,1,1,1,1,1,1,1,3,1,1,1
1,1,1,34,1,34,1,1,1,5,1,1,1
1,3,1,16,1,16,1,1,1,2,1,1,1
1,2,1,74,1,20,1,1,1,3,1,1,1
1,3,1,6,1,6,1,1,1,12,1,1,1
1,2,1,166,1,13,1,1,1,3,1,1,1
1,1,1,64,1,25,1,1,1,2,1,1,1
1,6,1,92,1,9,1,1,1,1,1,1,1
1,1,1,30,1,30,1,1,1,11,1,1,1
1,1,1,24,1,15,1,1,1,6,1,1,1
1,2,1,1,1,10,1,1,1,6,1,1,1
1,2,1,1,1,5,1,1,1,3,1,1,1
1,2,1,204,1,50,1,1,1,5,1,1,1
1,2,1,73,1,38,1,1,1,3,1,1,1
1,3,1,1,1,4,1,1,1,1,1,1,1
1,2,1,43,1,8,1,1,1,4,1,1,1
1,1,1,140,1,64,1,1,1,3,1,1,1
1,2,1,28,1,28,1,1,1,4,1,1,1
1,2,1,1,1,1,1,1,1,4,1,1,1
1,1,1,27,1,27,1,1,1,1,1,1,1
1,2,1,97,1,44,1,1,1,1,1,1,1
1,3,1,13,1,13,1,1,1,19,1,1,1
1,1,1,26,1,26,1,1,1,5,1,1,1
1,3,1,40,1,13,1,1,1,4,1,1,1
1,3,1,1,1,4,1,1,1,3,1,1,1
1,6,1,25,1,25,1,1,1,3,1,1,1
1,3,1,55,1,27,1,1,1,2,1,1,1
1,7,1,89,1,61,1,1,1,5,1,1,1
1,2,1,66,1,66,1,1,1,2,1,1,1
1,1,1,9,1,9,1,1,1,15,1,1,1
1,6,1,110,1,110,1,1,1,2,1,1,1
1,2,1,37,1,15,1,1,1,3,1,1,1
1,1,1,24,1,19,1,1,1,1,1,1,1
1,1,1,22,1,22,1,1,1,4,1,1,1
1,3,1,54,1,54,1,1,1,5,1,1,1
1,2,1,42,1,42,1,1,1,2,1,1,1
1,1,1,34,1,34,1,1,1,5,1,1,1
1,6,1,1,1,14,1,1,1,5,1,1,1
1,1,1,56,1,56,1,1,1,4,1,1,1
1,3,1,1,1,10,1,1,1,6,1,1,1
1,3,1,1,1,3,1,1,1,9,1,1,1
1,1,1,5,1,5,1,1,1,6,1,1,1
1,2,1,53,1,53,1,1,1,3,1,1,1
1,3,1,7,1,7,1,1,1,2,1,1,1
1,5,1,26,1,26,1,1,1,12,1,1,1
1,6,1,18,1,18,1,1,1,1,1,1,1
1,2,1,90,1,17,1,1,1,8,1,1,1
1,1,1,24,1,24,1,1,1,2,1,1,1
1,1,1,90,1,26,1,1,1,3,1,1,1
1,1,1,15,1,15,1,1,1,3,1,1,1
1,4,1,8,1,8,1,1,1,3,1,1,1
1,2,1,28,1,28,1,1,1,2,1,1,1
1,3,1,19,1,19,1,1,1,4,1,1,1
1,1,1,8,1,8,1,1,1,1,1,1,1
1,2,1,34,1,29,1,1,1,3,1,1,1
1,1,1,65,1,10,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1,4,1,1,1
1,4,1,10,1,10,1,1,1,3,1,1,1
1,3,1,1,1,3,1,1,1,5,1,1,1
1,1,1,6,1,6,1,1,1,1,1,1,1
1,4,1,63,1,36,1,1,1,1,1,1,1
1,3,1,35,1,35,1,1,1,1,1,1,1
1,2,1,167,1,13,1,1,1,7,1,1,1
1,1,1,11,1,11,1,1,1,1,1,1,1
1,4,1,84,1,33,1,1,1,2,1,1,1
1,2,1,97,1,97,1,1,1,3,1,1,1
1,1,1,6,1,6,1,1,1,2,1,1,1
1,4,1,25,1,25,1,1,1,8,1,1,1
1,2,1,23,1,23,1,1,1,2,1,1,1
1,1,1,120,1,13,1,1,1,9,1,1,1
1,4,1,1,1,12,1,1,1,1,1,1,1
1,4,1,34,1,34,1,1,1,1,1,1,1
1,2,1,10,1,10,1,1,1,3,1,1,1
1,3,1,9,1,9,1,1,1,11,1,1,1
1,1,1,22,1,22,1,1,1,13,1,1,1
1,5,1,1,1,5,1,1,1,8,1,1,1
1,8,1,23,1,23,1,1,1,1,1,1,1
1,1,1,20,1,18,1,1,1,1,1,1,1
1,1,1,59,1,33,1,1,1,17,1,1,1
1,1,1,127,1,78,1,1,1,2,1,1,1
1,1,1,44,1,44,1,1,1,1,1,1,1
1,4,1,18,1,18,1,1,1,3,1,1,1
1,2,1,50,1,28,1,1,1,10,1,1,1
1,1,1,5,1,5,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1,4,1,1,1
1,2,1,44,1,38,1,1,1,5,1,1,1
1,1,1,37,1,5,1,1,1,8,1,1,1
1,1,1,17,1,17,1,1,1,2,1,1,1
1,2,1,169,1,14,1,1,1,3,1,1,1
1,2,1,1,1,4,1,1,1,3,1,1,1
1,4,1,14,1,14,1,1,1,3,1,1,1
1,3,1,73,1,23,1,1,1,1,1,1,1
1,3,1,16,1,16,1,1,1,2,1,1,1
1,2,1,1,1,5,1,1,1,1,1,1,1
1,1,1,10,1,10,1,1,1,4,1,1,1
1,1,1,27,1,27,1,1,1,1,1,1,1
1,2,1,18,1,9,1,1,1,1,1,1,1
1,1,1,30,1,16,1,1,1,1,1,1,1
1,5,1,11,1,11,1,1,1,5,1,1,1
1,2,1,62,1,46,1,1,1,1,1,1,1
1,3,1,1,1,7,1,1,1,5,1,1,1
1,1,1,1,1,3,1,1,1,4,1,1,1
1,13,1,103,1,103,1,1,1,4,1,1,1
1,3,1,1,1,6,1,1,1,2,1,1,1
1,2,1,1,1,9,1,1,1,3,1,1,1
1,3,1,1,1,1,1,1,1,3,1,1,1
1,4,1,38,1,12,1,1,1,2,1,1,1
1,2,1,23,1,18,1,1,1,7,1,1,1
1,6,1,1,1,12,1,1,1,4,1,1,1
1,3,1,1,1,1,1,1,1,2,1,1,1
1,3,1,66,1,10,1,1,1,3,1,1,1
1,2,1,27,1,10,1,1,1,1,1,1,1
1,9,1,1,1,6,1,1,1,2,1,1,1
1,1,1,67,1,17,1,1,1,1,1,1,1
1,1,1,1,1,4,1,1,1,2,1,1,1
1,1,1,166,1,23,1,1,1,2,1,1,1
1,3,1,130,1,22,1,1,1,1,1,1,1
1,1,1,406,1,24,1,1,1,1,1,1,1
1,3,1,31,1,26,1,1,1,4,1,1,1
1,2,1,45,1,45,1,1,1,1,1,1,1
