p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,7,1,1,33,6,1,1,1,1,7,1,1
1,6,1,9,9,7,1,1,1,1,6,1,1
1,2,1,1,93,3,5,1,1,1,4,1,1
1,1,2,1,81,8,2,1,1,1,1,1,2
1,6,1,8,11,8,1,1,1,1,6,1,1
1,1,2,1,24,1,5,1,1,1,2,1,2
1,2,1,1,7,6,1,1,1,1,2,1,1
1,2,1,1,11,2,2,1,1,1,2,1,1
1,2,2,1,94,1,2,1,1,1,2,1,2
1,2,1,1,7,5,1,1,1,1,3,1,1
1,2,1,1,148,2,2,1,1,1,2,1,1
1,3,1,50,50,11,1,1,1,1,3,1,1
1,4,1,23,295,8,1,1,1,1,4,1,1
1,3,1,63,63,19,5,1,1,1,3,1,1
1,1,1,10,33,9,7,1,1,1,1,1,1
1,3,1,1,122,4,3,1,1,1,3,1,1
1,1,1,122,122,23,6,1,1,1,1,1,1
1,1,2,1,60,3,3,1,1,1,2,1,2
1,2,1,1,197,13,2,1,1,1,2,1,1
1,2,1,1,39,1,2,1,1,1,2,1,1
1,3,3,1,14,13,3,1,1,1,3,1,3
1,2,2,178,310,2,2,1,1,1,2,1,2
1,6,2,12,12,6,4,1,1,1,6,1,2
1,2,2,56,165,10,2,1,1,1,2,1,2
1,2,1,25,101,25,1,1,1,1,3,1,1
1,5,1,1,42,3,1,1,1,1,6,1,1
1,1,2,164,168,8,6,1,1,1,2,1,2
1,1,1,1,21,8,1,1,1,1,1,1,1
1,7,1,1,47,2,3,1,1,1,7,1,1
1,1,1,20,20,20,1,1,1,1,1,1,1
1,2,1,1,12,2,2,1,1,1,2,1,1
1,9,1,1,161,7,1,1,1,1,9,1,1
1,5,1,1,32,1,1,1,1,1,5,1,1
1,1,1,1,176,3,1,1,1,1,1,1,1
1,5,2,274,68,14,2,1,1,1,6,1,2
1,2,1,1,97,20,2,1,1,1,2,1,1
1,1,1,1,64,1,1,1,1,1,1,1,1
1,1,2,1,398,7,4,1,1,1,2,1,2
1,2,1,1,9,8,6,1,1,1,3,1,1
1,2,1,52,158,10,2,1,1,1,2,1,1
1,1,1,1,75,2,2,1,1,1,1,1,1
1,7,1,1,9,6,3,1,1,1,8,1,1
1,1,1,1,22,1,1,1,1,1,1,1,1
1,2,1,33,46,33,5,1,1,1,4,1,1
1,5,1,14,185,5,1,1,1,1,5,1,1
1,4,1,32,48,7,3,1,1,1,4,1,1
1,4,1,1,7,2,1,1,1,1,4,1,1
1,2,2,1,152,5,6,1,1,1,2,1,2
