 observation,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
eChild #99,0,0,0,8,0,0,0,0,0,0,8,0,0
eChild #100,0,0,0,4,0,0,0,0,0,10,6,0,1
eChild #101,0,0,0,0,0,0,0,0,0,2,3,0,2
eChild #102,0,0,0,0,0,0,0,0,0,2,5,0,1
eChild #103,0,0,0,0,0,0,0,0,0,17,29,0,3
eChild #104,0,0,0,1,0,0,0,0,0,3,1,0,0
eChild #105,0,0,0,1,0,0,0,0,0,0,4,0,0
eChild #106,0,0,0,1,0,0,0,0,0,1,2,0,0
eChild #107,0,0,0,1,0,0,0,0,0,0,4,0,0
eChild #108,0,0,0,2,0,0,0,0,0,19,2,0,0
eChild #109,0,0,0,0,0,0,0,0,0,7,6,0,3
eChild #110,0,0,0,2,0,0,0,0,0,5,3,0,0
eChild #111,0,0,0,0,0,0,0,0,0,1,17,0,3
eChild #112,0,0,0,0,0,0,0,0,0,4,28,0,4
eChild #113,0,0,0,0,0,0,0,0,0,1,54,0,1
eChild #114,0,0,0,2,0,0,0,0,0,7,1,0,0
eChild #115,0,0,0,1,0,0,0,0,0,3,1,0,0
eChild #116,0,0,0,0,0,0,0,0,0,5,1,0,3
eChild #117,0,0,0,3,0,0,0,0,0,1,5,0,0
eChild #118,0,0,0,3,0,0,0,0,0,8,19,0,0
eChild #119,0,0,0,0,0,0,0,0,0,1,9,0,1
eChild #120,0,0,0,0,0,0,0,0,0,9,10,0,1
eChild #121,0,0,0,2,0,0,0,0,0,2,4,0,0
eChild #122,0,0,0,1,0,0,0,0,0,7,1,0,0
eChild #123,0,0,0,0,0,0,0,0,0,0,3,0,1
eChild #124,0,0,0,0,0,0,0,0,0,2,21,0,5
eChild #125,0,0,0,0,0,0,0,0,0,4,16,0,1
eChild #126,0,0,0,2,0,0,0,0,0,1,4,0,0
eChild #127,0,0,0,2,0,0,0,0,0,7,12,0,0
eChild #128,0,0,0,0,0,0,0,0,0,4,26,0,1
eChild #129,0,0,0,0,0,0,0,0,0,6,3,0,1
eChild #130,0,0,0,0,0,0,0,0,0,6,3,0,12
eChild #131,0,0,0,1,0,0,0,0,0,5,13,0,3
eChild #132,0,0,0,1,0,0,0,0,0,1,3,0,2
eChild #133,0,0,0,1,0,0,0,0,0,13,2,0,0
eChild #134,0,0,0,0,0,0,0,0,0,4,10,0,1
eChild #135,0,0,0,1,0,0,0,0,0,3,5,0,0
eChild #136,0,0,0,0,0,0,0,0,0,5,4,0,1
eChild #137,0,0,0,2,0,0,0,0,0,25,4,0,0
eChild #138,0,0,0,2,0,0,0,0,0,4,3,0,0
eChild #139,0,0,0,0,0,0,0,0,0,8,0,0,5
eChild #140,0,0,0,0,0,0,0,0,0,3,15,0,1
eChild #141,0,0,0,4,0,0,0,0,0,0,11,0,0
eChild #142,0,0,0,1,0,0,0,0,0,8,22,0,0
eChild #143,0,0,0,0,0,0,0,0,0,6,3,0,1
eChild #144,0,0,0,1,0,0,0,0,0,4,2,0,0
eChild #145,0,0,0,1,0,0,0,0,0,2,15,0,0
eChild #146,0,0,0,1,0,0,0,0,0,1,5,0,0
eChild #147,0,0,0,0,0,0,0,0,0,5,14,0,3
eChild #148,0,0,0,0,0,0,0,0,0,9,7,0,1
eChild #149,0,0,0,0,0,0,0,0,0,18,4,0,1
eChild #150,0,0,0,4,0,0,0,0,0,0,4,0,0
eChild #151,0,0,0,1,0,0,0,0,0,0,5,0,0
eChild #152,0,0,0,0,0,0,0,0,0,1,2,0,3
eChild #153,0,0,0,1,0,0,0,0,0,8,2,0,4
eChild #154,0,0,0,1,0,0,0,0,0,2,5,0,0
eChild #155,0,0,0,1,0,0,0,0,0,1,11,0,0
eChild #156,0,0,0,0,0,0,0,0,0,3,8,0,1
eChild #157,0,0,0,6,0,0,0,0,0,6,24,0,0
eChild #158,0,0,0,1,0,0,0,0,0,2,8,0,0
eChild #159,0,0,0,4,0,0,0,0,0,0,22,0,0
eChild #160,0,0,0,2,0,0,0,0,0,2,4,0,0
eChild #161,0,0,0,0,0,0,0,0,0,8,10,0,1
eChild #162,0,0,0,1,0,0,0,0,0,8,2,0,6
eChild #163,0,0,0,1,0,0,0,0,0,2,9,0,0
eChild #164,0,0,0,0,0,0,0,0,0,2,30,0,1
eChild #165,0,0,0,0,0,0,0,0,0,7,15,0,2
eChild #166,0,0,0,0,0,0,0,0,0,0,12,0,4
eChild #167,0,0,0,0,0,0,0,0,0,6,3,0,5
eChild #168,0,0,0,2,0,0,0,0,0,4,3,0,0
eChild #169,0,0,0,0,0,0,0,0,0,0,10,0,3
eChild #170,0,0,0,0,0,0,0,0,0,0,4,0,2
eChild #171,0,0,0,2,0,0,0,0,0,0,17,0,0
eChild #172,0,0,0,0,0,0,0,0,0,14,5,0,1
eChild #173,0,0,0,4,0,0,0,0,0,10,30,0,1
eChild #174,0,0,0,1,0,0,0,0,0,4,1,0,0
