 observation,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
eChild #99,0,0,0,5,0,0,0,13,0,0,15,14,0
eChild #100,0,0,0,0,0,0,0,15,0,0,8,0,0
eChild #101,0,0,0,0,0,0,0,1,0,0,3,5,0
eChild #102,0,0,0,0,0,0,0,16,0,0,8,24,0
eChild #103,0,0,0,0,0,0,0,21,0,0,8,5,0
eChild #104,0,0,0,2,0,0,0,4,0,0,15,10,0
eChild #105,0,0,0,1,0,0,0,8,0,0,1,18,0
eChild #106,0,0,0,0,0,0,0,5,0,0,3,1,0
eChild #107,0,0,0,0,0,0,0,6,0,0,5,9,0
eChild #108,0,0,0,1,0,0,0,8,0,0,4,55,0
eChild #109,0,0,0,0,0,0,0,12,0,0,4,7,0
eChild #110,0,0,0,0,0,0,0,6,0,0,5,8,0
eChild #111,0,0,0,0,0,0,0,2,0,0,14,26,0
eChild #112,0,0,0,0,0,0,0,23,0,0,0,22,0
eChild #113,0,0,0,1,0,0,0,27,0,0,4,5,0
eChild #114,0,0,0,0,0,0,0,10,0,0,2,17,0
eChild #115,0,0,0,0,0,0,0,3,0,0,20,19,0
eChild #116,0,0,0,0,0,0,0,22,0,0,3,0,0
eChild #117,0,0,0,0,0,0,0,0,0,0,0,28,0
eChild #118,0,0,0,0,0,0,0,4,0,0,2,9,0
eChild #119,0,0,0,0,0,0,0,0,0,0,3,0,0
eChild #120,0,0,0,0,0,0,0,2,0,0,2,13,0
eChild #121,0,0,0,1,0,0,0,19,0,0,15,3,0
eChild #122,0,0,0,0,0,0,0,15,0,0,6,0,0
eChild #123,0,0,0,0,0,0,0,5,0,0,0,1,0
eChild #124,0,0,0,0,0,0,0,6,0,0,3,11,0
eChild #125,0,0,0,0,0,0,0,13,0,0,13,7,0
eChild #126,0,0,0,2,0,0,0,23,0,0,18,19,0
eChild #127,0,0,0,1,0,0,0,0,0,0,2,11,0
eChild #128,0,0,0,0,0,0,0,7,0,0,5,2,0
eChild #129,0,0,0,0,0,0,0,0,0,0,3,0,0
eChild #130,0,0,0,0,0,0,0,15,0,0,14,1,0
eChild #131,0,0,0,1,0,0,0,1,0,0,1,9,0
eChild #132,0,0,0,1,0,0,0,30,0,0,4,5,0
eChild #133,0,0,0,2,0,0,0,33,0,0,11,4,0
eChild #134,0,0,0,0,0,0,0,17,0,0,4,1,0
eChild #135,0,0,0,0,0,0,0,6,0,0,0,1,0
eChild #136,0,0,0,0,0,0,0,2,0,0,4,11,0
eChild #137,0,0,0,0,0,0,0,11,0,0,6,32,0
eChild #138,0,0,0,0,0,0,0,11,0,0,19,8,0
eChild #139,0,0,0,0,0,0,0,8,0,0,2,11,0
