 observation,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
eChild #425,0,0,0,75,0,75,0,0,0,1,0,0,0
eChild #426,0,4,0,33,0,33,0,0,0,0,0,0,0
eChild #427,0,2,0,34,0,34,0,0,0,0,0,0,0
eChild #428,0,1,0,43,0,43,0,0,0,0,0,0,0
eChild #429,0,4,0,79,0,79,0,0,0,1,0,0,0
eChild #430,0,4,0,29,0,29,0,0,0,7,0,0,0
eChild #431,0,8,0,10,0,10,0,0,0,3,0,0,0
eChild #432,0,2,0,6,0,6,0,0,0,4,0,0,0
eChild #433,0,6,0,52,0,52,0,0,0,0,0,0,0
eChild #434,0,1,0,86,0,86,0,0,0,0,0,0,0
eChild #435,0,2,0,57,0,57,0,0,0,4,0,0,0
eChild #436,0,0,0,44,0,44,0,0,0,2,0,0,0
eChild #437,0,1,0,26,0,26,0,0,0,4,0,0,0
eChild #438,0,0,0,114,0,114,0,0,0,0,0,0,0
eChild #439,0,0,0,10,0,10,0,0,0,0,0,0,0
eChild #440,0,0,0,27,0,27,0,0,0,2,0,0,0
eChild #441,0,1,0,30,0,30,0,0,0,0,0,0,0
eChild #442,0,0,0,34,0,34,0,0,0,1,0,0,0
eChild #443,0,0,0,40,0,40,0,0,0,0,0,0,0
eChild #444,0,2,0,89,0,89,0,0,0,6,0,0,0
eChild #445,0,0,0,110,0,110,0,0,0,4,0,0,0
eChild #446,0,2,0,29,0,29,0,0,0,2,0,0,0
eChild #447,0,0,0,96,0,96,0,0,0,3,0,0,0
eChild #448,0,0,0,104,0,104,0,0,0,7,0,0,0
eChild #449,0,2,0,26,0,26,0,0,0,4,0,0,0
eChild #450,0,2,0,76,0,76,0,0,0,0,0,0,0
eChild #451,0,1,0,18,0,18,0,0,0,5,0,0,0
eChild #452,0,1,0,64,0,64,0,0,0,3,0,0,0
eChild #453,0,0,0,32,0,32,0,0,0,0,0,0,0
eChild #454,0,0,0,47,0,47,0,0,0,2,0,0,0
eChild #455,0,2,0,0,0,0,0,0,0,1,0,0,0
eChild #456,0,1,0,12,0,12,0,0,0,2,0,0,0
eChild #457,0,0,0,76,0,76,0,0,0,0,0,0,0
eChild #458,0,5,0,18,0,18,0,0,0,3,0,0,0
eChild #459,0,8,0,93,0,93,0,0,0,2,0,0,0
eChild #460,0,2,0,37,0,37,0,0,0,1,0,0,0
eChild #461,0,0,0,22,0,22,0,0,0,0,0,0,0
eChild #462,0,3,0,77,0,77,0,0,0,1,0,0,0
eChild #463,0,0,0,27,0,27,0,0,0,0,0,0,0
eChild #464,0,0,0,92,0,92,0,0,0,5,0,0,0
eChild #465,0,6,0,12,0,12,0,0,0,0,0,0,0
eChild #466,0,0,0,7,0,7,0,0,0,0,0,0,0
eChild #467,0,1,0,0,0,5,0,0,0,2,0,0,0
eChild #468,0,0,0,87,0,87,0,0,0,0,0,0,0
eChild #469,0,1,0,18,0,18,0,0,0,1,0,0,0
eChild #470,0,1,0,0,0,1,0,0,0,2,0,0,0
eChild #471,0,1,0,62,0,62,0,0,0,1,0,0,0
eChild #472,0,2,0,35,0,35,0,0,0,1,0,0,0
eChild #473,0,0,0,12,0,12,0,0,0,1,0,0,0
eChild #474,0,4,0,63,0,63,0,0,0,12,0,0,0
eChild #475,0,4,0,101,0,101,0,0,0,1,0,0,0
eChild #476,0,0,0,45,0,45,0,0,0,1,0,0,0
eChild #477,0,0,0,13,0,13,0,0,0,2,0,0,0
eChild #478,0,4,0,98,0,98,0,0,0,0,0,0,0
eChild #479,0,1,0,124,0,124,0,0,0,3,0,0,0
eChild #480,0,7,0,53,0,53,0,0,0,0,0,0,0
eChild #481,0,0,0,0,0,8,0,0,0,0,0,0,0
eChild #482,0,4,0,59,0,59,0,0,0,3,0,0,0
eChild #483,0,0,0,22,0,22,0,0,0,3,0,0,0
eChild #484,0,0,0,28,0,28,0,0,0,4,0,0,0
eChild #485,0,0,0,24,0,24,0,0,0,5,0,0,0
eChild #486,0,0,0,0,0,1,0,0,0,2,0,0,0
eChild #487,0,4,0,79,0,79,0,0,0,0,0,0,0
eChild #488,0,0,0,5,0,5,0,0,0,2,0,0,0
eChild #489,0,2,0,109,0,109,0,0,0,1,0,0,0
eChild #490,0,4,0,20,0,20,0,0,0,3,0,0,0
eChild #491,0,2,0,6,0,6,0,0,0,1,0,0,0
eChild #492,0,0,0,156,0,156,0,0,0,4,0,0,0
eChild #493,0,4,0,34,0,34,0,0,0,4,0,0,0
eChild #494,0,2,0,60,0,60,0,0,0,0,0,0,0
eChild #495,0,0,0,9,0,9,0,0,0,7,0,0,0
eChild #496,0,1,0,15,0,15,0,0,0,9,0,0,0
eChild #497,0,9,0,25,0,25,0,0,0,4,0,0,0
eChild #498,0,1,0,37,0,37,0,0,0,1,0,0,0
eChild #499,0,2,0,163,0,163,0,0,0,5,0,0,0
eChild #500,0,1,0,0,0,0,0,0,0,2,0,0,0
eChild #501,0,1,0,49,0,49,0,0,0,2,0,0,0
eChild #502,0,3,0,145,0,145,0,0,0,2,0,0,0
eChild #503,0,3,0,23,0,23,0,0,0,1,0,0,0
eChild #504,0,1,0,43,0,43,0,0,0,3,0,0,0
eChild #505,0,2,0,8,0,8,0,0,0,5,0,0,0
eChild #506,0,0,0,40,0,40,0,0,0,3,0,0,0
eChild #507,0,2,0,133,0,133,0,0,0,6,0,0,0
eChild #508,0,7,0,93,0,93,0,0,0,1,0,0,0
eChild #509,0,1,0,74,0,74,0,0,0,2,0,0,0
eChild #510,0,7,0,55,0,55,0,0,0,2,0,0,0
eChild #511,0,5,0,91,0,91,0,0,0,0,0,0,0
eChild #512,0,1,0,22,0,22,0,0,0,1,0,0,0
eChild #513,0,6,0,7,0,7,0,0,0,1,0,0,0
eChild #514,0,3,0,0,0,3,0,0,0,1,0,0,0
eChild #515,0,1,0,27,0,27,0,0,0,1,0,0,0
eChild #516,0,0,0,11,0,11,0,0,0,3,0,0,0
eChild #517,0,2,0,84,0,84,0,0,0,3,0,0,0
eChild #518,0,2,0,15,0,15,0,0,0,6,0,0,0
eChild #519,0,1,0,23,0,23,0,0,0,2,0,0,0
eChild #520,0,1,0,23,0,23,0,0,0,10,0,0,0
eChild #521,0,1,0,37,0,37,0,0,0,5,0,0,0
eChild #522,0,1,0,6,0,6,0,0,0,1,0,0,0
eChild #523,0,1,0,0,0,2,0,0,0,8,0,0,0
eChild #524,0,0,0,13,0,13,0,0,0,2,0,0,0
eChild #525,0,4,0,53,0,53,0,0,0,1,0,0,0
eChild #526,0,0,0,11,0,11,0,0,0,16,0,0,0
eChild #527,0,1,0,14,0,14,0,0,0,4,0,0,0
eChild #528,0,0,0,165,0,165,0,0,0,3,0,0,0
eChild #529,0,0,0,71,0,71,0,0,0,0,0,0,0
eChild #530,0,3,0,141,0,141,0,0,0,3,0,0,0
eChild #531,0,0,0,47,0,47,0,0,0,0,0,0,0
eChild #532,0,3,0,0,0,5,0,0,0,7,0,0,0
eChild #533,0,2,0,18,0,18,0,0,0,6,0,0,0
eChild #534,0,0,0,26,0,26,0,0,0,4,0,0,0
eChild #535,0,1,0,185,0,185,0,0,0,2,0,0,0
eChild #536,0,3,0,48,0,48,0,0,0,3,0,0,0
eChild #537,0,0,0,28,0,28,0,0,0,0,0,0,0
eChild #538,0,1,0,47,0,47,0,0,0,2,0,0,0
eChild #539,0,0,0,33,0,33,0,0,0,0,0,0,0
eChild #540,0,0,0,124,0,124,0,0,0,3,0,0,0
eChild #541,0,0,0,147,0,147,0,0,0,3,0,0,0
eChild #542,0,3,0,27,0,27,0,0,0,0,0,0,0
eChild #543,0,1,0,70,0,70,0,0,0,0,0,0,0
eChild #544,0,2,0,66,0,66,0,0,0,4,0,0,0
eChild #545,0,1,0,1,0,1,0,0,0,17,0,0,0
eChild #546,0,2,0,16,0,16,0,0,0,0,0,0,0
eChild #547,0,0,0,0,0,4,0,0,0,1,0,0,0
eChild #548,0,1,0,7,0,7,0,0,0,4,0,0,0
eChild #549,0,0,0,203,0,203,0,0,0,2,0,0,0
eChild #550,0,13,0,74,0,74,0,0,0,11,0,0,0
eChild #551,0,0,0,71,0,71,0,0,0,0,0,0,0
eChild #552,0,5,0,222,0,222,0,0,0,5,0,0,0
eChild #553,0,5,0,70,0,70,0,0,0,0,0,0,0
eChild #554,0,1,0,44,0,44,0,0,0,0,0,0,0
eChild #555,0,12,0,0,0,3,0,0,0,2,0,0,0
eChild #556,0,1,0,124,0,124,0,0,0,5,0,0,0
eChild #557,0,6,0,0,0,8,0,0,0,1,0,0,0
eChild #558,0,0,0,30,0,30,0,0,0,1,0,0,0
eChild #559,0,0,0,0,0,2,0,0,0,1,0,0,0
eChild #560,0,2,0,32,0,32,0,0,0,7,0,0,0
eChild #561,0,2,0,33,0,33,0,0,0,0,0,0,0
eChild #562,0,4,0,18,0,18,0,0,0,0,0,0,0
eChild #563,0,0,0,69,0,69,0,0,0,0,0,0,0
eChild #564,0,2,0,137,0,137,0,0,0,0,0,0,0
eChild #565,0,0,0,108,0,108,0,0,0,5,0,0,0
eChild #566,0,2,0,43,0,43,0,0,0,0,0,0,0
eChild #567,0,2,0,58,0,58,0,0,0,2,0,0,0
eChild #568,0,1,0,59,0,59,0,0,0,1,0,0,0
eChild #569,0,1,0,18,0,18,0,0,0,1,0,0,0
eChild #570,0,0,0,18,0,18,0,0,0,10,0,0,0
eChild #571,0,4,0,126,0,126,0,0,0,4,0,0,0
eChild #572,0,3,0,31,0,31,0,0,0,1,0,0,0
eChild #573,0,1,0,51,0,51,0,0,0,2,0,0,0
eChild #574,0,1,0,38,0,38,0,0,0,4,0,0,0
eChild #575,0,2,0,62,0,62,0,0,0,8,0,0,0
eChild #576,0,3,0,82,0,82,0,0,0,3,0,0,0
eChild #577,0,2,0,12,0,12,0,0,0,0,0,0,0
eChild #578,0,0,0,195,0,195,0,0,0,4,0,0,0
eChild #579,0,0,0,58,0,58,0,0,0,1,0,0,0
eChild #580,0,2,0,34,0,34,0,0,0,0,0,0,0
eChild #581,0,2,0,15,0,15,0,0,0,2,0,0,0
eChild #582,0,0,0,11,0,11,0,0,0,5,0,0,0
eChild #583,0,0,0,9,0,9,0,0,0,3,0,0,0
eChild #584,0,2,0,30,0,30,0,0,0,3,0,0,0
eChild #585,0,3,0,118,0,118,0,0,0,1,0,0,0
eChild #586,0,0,0,65,0,65,0,0,0,5,0,0,0
eChild #587,0,0,0,121,0,121,0,0,0,0,0,0,0
eChild #588,0,2,0,10,0,10,0,0,0,0,0,0,0
eChild #589,0,2,0,32,0,32,0,0,0,5,0,0,0
eChild #590,0,3,0,8,0,8,0,0,0,5,0,0,0
eChild #591,0,1,0,96,0,96,0,0,0,2,0,0,0
eChild #592,0,3,0,0,0,1,0,0,0,4,0,0,0
eChild #593,0,2,0,48,0,48,0,0,0,3,0,0,0
eChild #594,0,0,0,29,0,29,0,0,0,2,0,0,0
eChild #595,0,4,0,17,0,17,0,0,0,4,0,0,0
eChild #596,0,7,0,47,0,47,0,0,0,0,0,0,0
eChild #597,0,0,0,41,0,41,0,0,0,6,0,0,0
eChild #598,0,3,0,96,0,96,0,0,0,3,0,0,0
eChild #599,0,0,0,27,0,27,0,0,0,1,0,0,0
eChild #600,0,0,0,105,0,105,0,0,0,6,0,0,0
eChild #601,0,0,0,148,0,148,0,0,0,11,0,0,0
eChild #602,0,3,0,184,0,184,0,0,0,0,0,0,0
eChild #603,0,1,0,28,0,28,0,0,0,0,0,0,0
eChild #604,0,3,0,47,0,47,0,0,0,1,0,0,0
eChild #605,0,3,0,186,0,186,0,0,0,2,0,0,0
eChild #606,0,0,0,32,0,32,0,0,0,0,0,0,0
eChild #607,0,3,0,22,0,22,0,0,0,2,0,0,0
eChild #608,0,0,0,67,0,67,0,0,0,4,0,0,0
eChild #609,0,2,0,79,0,79,0,0,0,1,0,0,0
eChild #610,0,0,0,156,0,156,0,0,0,0,0,0,0
eChild #611,0,0,0,89,0,89,0,0,0,1,0,0,0
eChild #612,0,6,0,0,0,1,0,0,0,0,0,0,0
eChild #613,0,0,0,14,0,14,0,0,0,4,0,0,0
eChild #614,0,0,0,22,0,22,0,0,0,0,0,0,0
eChild #615,0,3,0,10,0,10,0,0,0,3,0,0,0
eChild #616,0,7,0,75,0,75,0,0,0,0,0,0,0
eChild #617,0,2,0,0,0,1,0,0,0,4,0,0,0
eChild #618,0,2,0,11,0,11,0,0,0,0,0,0,0
eChild #619,0,0,0,0,0,6,0,0,0,0,0,0,0
eChild #620,0,0,0,77,0,77,0,0,0,0,0,0,0
eChild #621,0,4,0,34,0,34,0,0,0,5,0,0,0
eChild #622,0,1,0,62,0,62,0,0,0,2,0,0,0
eChild #623,0,0,0,0,0,0,0,0,0,4,0,0,0
eChild #624,0,3,0,41,0,41,0,0,0,1,0,0,0
eChild #625,0,3,0,46,0,46,0,0,0,2,0,0,0
eChild #626,0,1,0,13,0,13,0,0,0,0,0,0,0
eChild #627,0,3,0,144,0,144,0,0,0,0,0,0,0
eChild #628,0,0,0,10,0,10,0,0,0,1,0,0,0
eChild #629,0,0,0,47,0,47,0,0,0,1,0,0,0
eChild #630,0,3,0,10,0,10,0,0,0,5,0,0,0
eChild #631,0,4,0,38,0,38,0,0,0,6,0,0,0
eChild #632,0,2,0,0,0,0,0,0,0,1,0,0,0
eChild #633,0,0,0,81,0,81,0,0,0,2,0,0,0
eChild #634,0,0,0,119,0,119,0,0,0,9,0,0,0
eChild #635,0,0,0,46,0,46,0,0,0,0,0,0,0
eChild #636,0,1,0,7,0,7,0,0,0,0,0,0,0
eChild #637,0,0,0,75,0,75,0,0,0,4,0,0,0
eChild #638,0,1,0,49,0,49,0,0,0,3,0,0,0
eChild #639,0,1,0,10,0,10,0,0,0,0,0,0,0
eChild #640,0,6,0,0,0,2,0,0,0,1,0,0,0
eChild #641,0,1,0,112,0,112,0,0,0,2,0,0,0
eChild #642,0,2,0,30,0,30,0,0,0,1,0,0,0
eChild #643,0,1,0,0,0,12,0,0,0,0,0,0,0
eChild #644,0,2,0,114,0,114,0,0,0,0,0,0,0
eChild #645,0,4,0,0,0,8,0,0,0,4,0,0,0
eChild #646,0,2,0,31,0,31,0,0,0,3,0,0,0
eChild #647,0,1,0,43,0,43,0,0,0,3,0,0,0
eChild #648,0,3,0,6,0,6,0,0,0,1,0,0,0
eChild #649,0,1,0,129,0,129,0,0,0,3,0,0,0
eChild #650,0,5,0,7,0,7,0,0,0,0,0,0,0
eChild #651,0,0,0,31,0,31,0,0,0,1,0,0,0
eChild #652,0,0,0,3,0,3,0,0,0,2,0,0,0
eChild #653,0,0,0,0,0,3,0,0,0,0,0,0,0
