 observation,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
eChild #1,0,2,0,7,0,7,0,0,0,1,0,0,0
eChild #2,0,0,0,46,0,46,0,0,0,15,0,0,0
eChild #3,0,0,0,17,0,17,0,0,0,0,0,0,0
eChild #4,0,0,0,25,0,25,0,0,0,1,0,0,0
eChild #5,0,5,0,24,0,24,0,0,0,0,0,0,0
eChild #6,0,0,0,4,0,4,0,0,0,0,0,0,0
eChild #7,0,2,0,56,0,56,0,0,0,4,0,0,0
eChild #8,0,0,0,130,0,130,0,0,0,2,0,0,0
eChild #9,0,1,0,31,0,31,0,0,0,1,0,0,0
eChild #10,0,1,0,138,0,138,0,0,0,1,0,0,0
eChild #11,0,4,0,2,0,2,0,0,0,10,0,0,0
eChild #12,0,2,0,42,0,42,0,0,0,2,0,0,0
eChild #13,0,1,0,27,0,27,0,0,0,0,0,0,0
eChild #14,0,1,0,65,0,65,0,0,0,1,0,0,0
eChild #15,0,3,0,117,0,117,0,0,0,2,0,0,0
eChild #16,0,0,0,2,0,2,0,0,0,0,0,0,0
eChild #17,0,1,0,168,0,168,0,0,0,1,0,0,0
eChild #18,0,8,0,25,0,25,0,0,0,1,0,0,0
eChild #19,0,0,0,20,0,20,0,0,0,4,0,0,0
eChild #20,0,5,0,9,0,9,0,0,0,3,0,0,0
eChild #21,0,1,0,61,0,61,0,0,0,1,0,0,0
eChild #22,0,1,0,20,0,20,0,0,0,0,0,0,0
eChild #23,0,0,0,52,0,52,0,0,0,4,0,0,0
eChild #24,0,0,0,22,0,22,0,0,0,9,0,0,0
eChild #25,0,3,0,59,0,59,0,0,0,1,0,0,0
eChild #26,0,5,0,15,0,15,0,0,0,1,0,0,0
eChild #27,0,5,0,62,0,62,0,0,0,4,0,0,0
eChild #28,0,1,0,24,0,24,0,0,0,0,0,0,0
eChild #29,0,1,0,4,0,4,0,0,0,2,0,0,0
eChild #30,0,1,0,49,0,49,0,0,0,3,0,0,0
eChild #31,0,0,0,39,0,39,0,0,0,0,0,0,0
eChild #32,0,1,0,22,0,22,0,0,0,0,0,0,0
eChild #33,0,5,0,44,0,44,0,0,0,5,0,0,0
eChild #34,0,0,0,67,0,67,0,0,0,2,0,0,0
eChild #35,0,2,0,8,0,8,0,0,0,5,0,0,0
eChild #36,0,1,0,0,0,12,0,0,0,0,0,0,0
eChild #37,0,2,0,30,0,30,0,0,0,3,0,0,0
eChild #38,0,5,0,68,0,68,0,0,0,0,0,0,0
eChild #39,0,0,0,0,0,0,0,0,0,2,0,0,0
eChild #40,0,0,0,52,0,52,0,0,0,2,0,0,0
eChild #41,0,4,0,14,0,14,0,0,0,0,0,0,0
eChild #42,0,3,0,24,0,24,0,0,0,1,0,0,0
eChild #43,0,3,0,0,0,1,0,0,0,0,0,0,0
eChild #44,0,2,0,25,0,25,0,0,0,1,0,0,0
eChild #45,0,1,0,74,0,74,0,0,0,3,0,0,0
eChild #46,0,0,0,60,0,60,0,0,0,0,0,0,0
eChild #47,0,3,0,60,0,60,0,0,0,3,0,0,0
eChild #48,0,0,0,93,0,93,0,0,0,7,0,0,0
eChild #49,0,0,0,32,0,32,0,0,0,1,0,0,0
eChild #50,0,1,0,201,0,201,0,0,0,0,0,0,0
eChild #51,0,0,0,0,0,2,0,0,0,0,0,0,0
eChild #52,0,0,0,48,0,48,0,0,0,1,0,0,0
eChild #53,0,0,0,48,0,48,0,0,0,1,0,0,0
eChild #54,0,2,0,40,0,40,0,0,0,5,0,0,0
eChild #55,0,4,0,35,0,35,0,0,0,1,0,0,0
eChild #56,0,2,0,129,0,129,0,0,0,2,0,0,0
eChild #57,0,0,0,13,0,13,0,0,0,1,0,0,0
eChild #58,0,1,0,118,0,118,0,0,0,9,0,0,0
eChild #59,0,3,0,31,0,31,0,0,0,5,0,0,0
eChild #60,0,0,0,4,0,4,0,0,0,2,0,0,0
eChild #61,0,9,0,0,0,6,0,0,0,0,0,0,0
eChild #62,0,0,0,55,0,55,0,0,0,0,0,0,0
eChild #63,0,2,0,75,0,75,0,0,0,1,0,0,0
eChild #64,0,0,0,0,0,4,0,0,0,1,0,0,0
eChild #65,0,0,0,63,0,63,0,0,0,0,0,0,0
eChild #66,0,1,0,13,0,13,0,0,0,3,0,0,0
eChild #67,0,0,0,49,0,49,0,0,0,7,0,0,0
eChild #68,0,0,0,13,0,13,0,0,0,4,0,0,0
eChild #69,0,0,0,102,0,102,0,0,0,1,0,0,0
eChild #70,0,9,0,99,0,99,0,0,0,1,0,0,0
eChild #71,0,3,0,283,0,283,0,0,0,0,0,0,0
eChild #72,0,0,0,14,0,14,0,0,0,0,0,0,0
eChild #73,0,3,0,33,0,33,0,0,0,0,0,0,0
eChild #74,0,1,0,89,0,89,0,0,0,2,0,0,0
eChild #75,0,5,0,100,0,100,0,0,0,3,0,0,0
eChild #76,0,6,0,53,0,53,0,0,0,0,0,0,0
eChild #77,0,2,0,0,0,3,0,0,0,5,0,0,0
eChild #78,0,0,0,38,0,38,0,0,0,3,0,0,0
eChild #79,0,4,0,79,0,79,0,0,0,2,0,0,0
eChild #80,0,0,0,15,0,15,0,0,0,1,0,0,0
eChild #81,0,4,0,33,0,33,0,0,0,9,0,0,0
eChild #82,0,0,0,21,0,21,0,0,0,9,0,0,0
eChild #83,0,3,0,56,0,56,0,0,0,6,0,0,0
eChild #84,0,0,0,60,0,60,0,0,0,4,0,0,0
eChild #85,0,0,0,24,0,24,0,0,0,4,0,0,0
eChild #86,0,7,0,110,0,110,0,0,0,9,0,0,0
eChild #87,0,7,0,16,0,16,0,0,0,2,0,0,0
eChild #88,0,0,0,69,0,69,0,0,0,3,0,0,0
eChild #89,0,8,0,136,0,136,0,0,0,1,0,0,0
eChild #90,0,4,0,0,0,5,0,0,0,0,0,0,0
eChild #91,0,3,0,154,0,154,0,0,0,3,0,0,0
eChild #92,0,0,0,45,0,45,0,0,0,6,0,0,0
eChild #93,0,4,0,5,0,5,0,0,0,0,0,0,0
eChild #94,0,1,0,10,0,10,0,0,0,8,0,0,0
eChild #95,0,3,0,75,0,75,0,0,0,0,0,0,0
eChild #96,0,0,0,0,0,5,0,0,0,3,0,0,0
eChild #97,0,1,0,144,0,144,0,0,0,0,0,0,0
eChild #98,0,1,0,64,0,64,0,0,0,0,0,0,0
eChild #99,0,0,0,129,0,129,0,0,0,5,0,0,0
eChild #100,0,0,0,147,0,147,0,0,0,2,0,0,0
