 observation,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
eChild #1,0,0,0,0,0,0,0,0,0,2,16,0,1
eChild #2,0,0,0,0,0,0,0,0,0,1,9,0,4
eChild #3,0,0,0,0,0,0,0,0,0,3,18,0,3
eChild #4,0,0,0,0,0,0,0,0,0,1,6,0,2
eChild #5,0,0,0,1,0,0,0,0,0,6,28,0,0
eChild #6,0,0,0,0,0,0,0,0,0,4,18,0,1
eChild #7,0,0,0,0,0,0,0,0,0,3,9,0,1
eChild #8,0,0,0,0,0,0,0,0,0,3,8,0,1
eChild #9,0,0,0,3,0,0,0,0,0,9,18,0,1
eChild #10,0,0,0,1,0,0,0,0,0,0,22,0,3
eChild #11,0,0,0,2,0,0,0,0,0,3,15,0,1
eChild #12,0,0,0,0,0,0,0,0,0,4,11,0,1
eChild #13,0,0,0,0,0,0,0,0,0,5,1,0,2
eChild #14,0,0,0,0,0,0,0,0,0,2,0,0,1
eChild #15,0,0,0,0,0,0,0,0,0,47,28,0,2
eChild #16,0,0,0,0,0,0,0,0,0,0,8,0,4
eChild #17,0,0,0,1,0,0,0,0,0,4,1,0,0
eChild #18,0,0,0,1,0,0,0,0,0,2,38,0,2
eChild #19,0,0,0,4,0,0,0,0,0,1,29,0,0
eChild #20,0,0,0,3,0,0,0,0,0,14,11,0,0
eChild #21,0,0,0,2,0,0,0,0,0,8,0,0,1
eChild #22,0,0,0,0,0,0,0,0,0,7,0,0,2
eChild #23,0,0,0,3,0,0,0,0,0,0,6,0,0
eChild #24,0,0,0,0,0,0,0,0,0,15,2,0,3
eChild #25,0,0,0,0,0,0,0,0,0,5,13,0,3
eChild #26,0,0,0,2,0,0,0,0,0,2,1,0,0
eChild #27,0,0,0,0,0,0,0,0,0,3,34,0,4
eChild #28,0,0,0,0,0,0,0,0,0,0,9,0,2
eChild #29,0,0,0,0,0,0,0,0,0,2,0,0,2
eChild #30,0,0,0,1,0,0,0,0,0,1,20,0,0
eChild #31,0,0,0,0,0,0,0,0,0,0,10,0,1
eChild #32,0,0,0,0,0,0,0,0,0,9,0,0,5
eChild #33,0,0,0,0,0,0,0,0,0,4,22,0,1
eChild #34,0,0,0,0,0,0,0,0,0,8,6,0,1
eChild #35,0,0,0,0,0,0,0,0,0,15,5,0,1
eChild #36,0,0,0,0,0,0,0,0,0,3,5,0,1
eChild #37,0,0,0,1,0,0,0,0,0,1,3,0,0
