 observation,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
eChild #1,0,2,3,0,131,0,4,0,0,0,2,0,3
eChild #2,0,0,0,9,9,0,0,0,0,0,0,0,0
eChild #3,0,3,0,2,78,0,1,0,0,0,3,0,0
eChild #4,0,0,1,0,5,0,2,0,0,0,1,0,1
eChild #5,0,1,0,3,76,0,4,0,0,0,2,0,0
eChild #6,0,0,1,0,106,0,1,0,0,0,0,0,1
eChild #7,0,0,0,1,24,0,0,0,0,0,0,0,0
eChild #8,0,1,0,2,22,0,0,0,0,0,1,0,0
eChild #9,0,0,0,8,339,0,0,0,0,0,0,0,0
eChild #10,0,1,0,4,21,0,0,0,0,0,1,0,0
eChild #11,0,0,1,0,230,0,2,0,3,0,0,0,1
eChild #12,0,2,1,0,47,0,2,0,0,0,2,0,1
eChild #13,0,0,0,1,15,0,0,0,0,0,0,0,0
eChild #14,0,0,2,0,45,0,2,0,2,0,0,0,2
eChild #15,0,0,0,1,106,0,0,0,0,0,0,0,0
eChild #16,0,1,3,0,89,0,4,0,0,0,1,0,3
eChild #17,0,0,0,1,378,0,5,0,0,0,0,0,0
eChild #18,0,0,1,0,145,0,1,0,0,0,1,0,1
eChild #19,0,3,0,5,39,0,0,0,0,0,3,0,0
eChild #20,0,0,0,5,24,0,0,0,0,0,0,0,0
eChild #21,0,0,0,3,55,0,0,0,0,0,0,0,0
eChild #22,0,0,0,4,57,0,0,0,5,0,0,0,0
eChild #23,0,0,0,7,324,0,0,0,0,0,0,0,0
eChild #24,0,4,1,0,76,0,1,0,0,0,4,0,1
eChild #25,0,0,0,1,1,0,0,0,0,0,0,0,0
eChild #26,0,1,0,1,1,0,2,0,0,0,2,0,0
eChild #27,0,1,0,3,52,0,2,0,0,0,1,0,0
eChild #28,0,4,0,1,4,0,2,0,1,0,5,0,0
eChild #29,0,3,0,1,105,0,6,0,0,0,3,0,0
eChild #30,0,0,2,1,29,0,2,0,1,0,1,0,2
eChild #31,0,1,1,0,87,0,3,0,2,0,1,0,1
eChild #32,0,1,0,1,155,0,0,0,0,0,3,0,0
eChild #33,0,0,0,4,11,0,0,0,0,0,0,0,0
eChild #34,0,0,0,12,92,0,0,0,0,0,0,0,0
eChild #35,0,3,0,1,12,0,0,0,0,0,3,0,0
eChild #36,0,10,0,3,40,0,0,0,0,0,11,0,0
eChild #37,0,0,0,5,82,0,0,0,0,0,0,0,0
eChild #38,0,0,0,3,281,0,0,0,0,0,0,0,0
eChild #39,0,3,1,0,37,0,8,0,0,0,3,0,1
eChild #40,0,0,1,10,29,0,2,0,3,0,1,0,1
eChild #41,0,3,1,0,77,0,1,0,0,0,3,0,1
eChild #42,0,0,0,1,81,0,0,0,0,0,0,0,0
eChild #43,0,2,0,1,184,0,2,0,1,0,2,0,0
eChild #44,0,0,0,1,170,0,0,0,0,0,0,0,0
eChild #45,0,0,0,2,231,0,1,0,0,0,0,0,0
eChild #46,0,2,0,5,153,0,2,0,1,0,2,0,0
eChild #47,0,0,0,2,132,0,0,0,0,0,0,0,0
eChild #48,0,2,1,0,185,0,1,0,0,0,2,0,1
eChild #49,0,0,0,7,140,0,0,0,0,0,0,0,0
eChild #50,0,0,0,6,42,0,4,0,0,0,0,0,0
eChild #51,0,4,0,3,427,0,0,0,0,0,4,0,0
eChild #52,0,0,1,0,57,0,2,0,1,0,1,0,1
eChild #53,0,0,0,11,719,0,2,0,0,0,0,0,0
eChild #54,0,0,0,1,76,0,2,0,2,0,0,0,0
eChild #55,0,2,0,7,44,0,2,0,1,0,2,0,0
eChild #56,0,1,1,0,197,0,1,0,1,0,1,0,1
eChild #57,0,0,0,1,166,0,2,0,3,0,0,0,0
eChild #58,0,1,1,0,80,0,1,0,0,0,1,0,1
eChild #59,0,0,0,2,39,0,0,0,0,0,0,0,0
eChild #60,0,4,0,5,21,0,0,0,0,0,4,0,0
eChild #61,0,2,0,12,64,0,1,0,1,0,2,0,0
eChild #62,0,5,2,0,71,0,6,0,0,0,6,0,2
eChild #63,0,1,0,4,14,0,0,0,0,0,2,0,0
eChild #64,0,3,0,4,107,0,0,0,0,0,3,0,0
eChild #65,0,0,0,2,15,0,0,0,0,0,0,0,0
eChild #66,0,0,0,2,190,0,1,0,0,0,0,0,0
eChild #67,0,2,3,0,9,0,4,0,0,0,3,0,3
eChild #68,0,2,0,4,78,0,0,0,0,0,2,0,0
eChild #69,0,0,1,0,47,0,3,0,0,0,0,0,1
eChild #70,0,2,0,6,243,0,4,0,1,0,2,0,0
eChild #71,0,0,3,1,86,0,6,0,1,0,3,0,3
eChild #72,0,0,1,0,87,0,2,0,0,0,1,0,1
eChild #73,0,0,0,4,19,0,0,0,1,0,0,0,0
eChild #74,0,0,1,0,85,0,3,0,1,0,1,0,1
eChild #75,0,0,0,2,118,0,5,0,0,0,0,0,0
eChild #76,0,2,0,13,192,0,0,0,1,0,2,0,0
eChild #77,0,0,0,3,74,0,9,0,0,0,0,0,0
eChild #78,0,2,0,3,170,0,0,0,0,0,2,0,0
eChild #79,0,1,0,3,103,0,5,0,0,0,1,0,0
eChild #80,0,2,0,1,58,0,0,0,1,0,3,0,0
eChild #81,0,1,0,3,106,0,0,0,0,0,1,0,0
eChild #82,0,3,0,3,66,0,0,0,0,0,4,0,0
eChild #83,0,6,0,2,28,0,0,0,1,0,6,0,0
eChild #84,0,0,0,1,78,0,11,0,0,0,0,0,0
eChild #85,0,0,0,5,21,0,0,0,0,0,0,0,0
eChild #86,0,1,0,2,173,0,0,0,0,0,1,0,0
eChild #87,0,9,2,0,130,0,4,0,0,0,9,0,2
eChild #88,0,3,1,0,19,0,6,0,0,0,4,0,1
eChild #89,0,1,0,6,70,0,0,0,0,0,1,0,0
eChild #90,0,0,0,5,40,0,0,0,1,0,0,0,0
eChild #91,0,0,2,1,141,0,2,0,1,0,1,0,2
eChild #92,0,1,0,3,129,0,0,0,2,0,1,0,0
eChild #93,0,0,1,0,19,0,4,0,1,0,1,0,1
eChild #94,0,1,0,8,100,0,5,0,0,0,1,0,0
eChild #95,0,4,0,9,58,0,0,0,3,0,4,0,0
eChild #96,0,2,0,7,301,0,0,0,0,0,2,0,0
eChild #97,0,0,0,6,47,0,0,0,0,0,0,0,0
eChild #98,0,0,1,5,8,0,1,0,1,0,1,0,1
eChild #99,0,4,0,3,290,0,1,0,1,0,4,0,0
eChild #100,0,1,1,0,189,0,1,0,0,0,1,0,1
