TCV, , , , , , , , , , , , ,Grammar
p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,1,1,1,1,1,1,1,1,3,15,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,1,1,2,1,98,1,1,1,6,18,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,3,1,6,1,1,1,1,2,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,7,1,1,1,4,11,1,4,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,82,1,1,1,2,6,1,3,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,15,1,1,1,2,13,1,4,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,62,1,1,1,4,2,1,4,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,48,1,1,1,3,17,1,2,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,27,1,1,1,13,7,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,20,1,1,1,3,7,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,57,1,1,1,16,22,1,6,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,2,1,1,1,12,13,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,1,1,3,1,5,1,1,1,2,9,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,2,1,1,1,7,1,1,2,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,52,1,1,1,7,6,1,2,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,4,1,1,1,9,1,1,2,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,147,1,1,1,2,1,1,5,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,10,1,1,1,5,15,1,2,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,4,1,61,1,1,1,4,28,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,3,1,7,1,1,1,21,11,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,25,1,1,1,18,7,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,39,1,1,1,7,1,1,3,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,6,1,1,1,5,13,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,5,1,37,1,1,1,1,5,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,4,1,1,1,6,8,1,4,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,29,1,1,1,2,6,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,2,3,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,1,1,1,1,33,1,1,1,3,1,1,3,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,32,1,1,1,15,17,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,3,1,105,1,1,1,10,8,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,20,1,1,1,1,18,1,4,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,4,1,24,1,1,1,1,29,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,10,1,1,1,11,3,1,4,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,3,1,21,1,1,1,2,23,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,3,1,23,1,1,1,6,5,1,2,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,3,1,7,1,1,1,12,11,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,19,1,1,1,5,6,1,4,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,23,1,1,1,6,3,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,16,1,1,1,3,5,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,31,1,1,1,1,11,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,33,1,1,1,5,1,1,2,0,0,0,1,0,1,1,0,0,1,0,0,0
