p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,1,1,46,1,11,1,1,1,9,1,1,1
1,1,1,4,1,4,1,1,1,2,1,1,1
1,2,1,1,1,5,1,1,1,1,1,1,1
1,2,1,15,1,15,1,1,1,13,1,1,1
1,3,1,14,1,14,1,1,1,2,1,1,1
1,1,1,13,1,9,1,1,1,23,1,1,1
1,1,1,52,1,4,1,1,1,10,1,1,1
1,1,1,174,1,6,1,1,1,1,1,1,1
1,3,1,30,1,14,1,1,1,4,1,1,1
1,1,1,69,1,18,1,1,1,3,1,1,1
1,3,1,14,1,14,1,1,1,1,1,1,1
1,1,1,47,1,25,1,1,1,8,1,1,1
1,2,1,13,1,6,1,1,1,1,1,1,1
1,10,1,1,1,3,1,1,1,11,1,1,1
1,1,1,28,1,12,1,1,1,3,1,1,1
1,10,1,70,1,68,1,1,1,1,1,1,1
1,8,1,24,1,24,1,1,1,11,1,1,1
1,2,1,200,1,9,1,1,1,1,1,1,1
1,6,1,43,1,9,1,1,1,10,1,1,1
1,1,1,9,1,9,1,1,1,4,1,1,1
1,1,1,1,1,2,1,1,1,6,1,1,1
1,2,1,21,1,21,1,1,1,3,1,1,1
1,2,1,201,1,12,1,1,1,1,1,1,1
1,3,1,26,1,26,1,1,1,7,1,1,1
1,1,1,171,1,19,1,1,1,5,1,1,1
1,1,1,49,1,44,1,1,1,6,1,1,1
1,3,1,1,1,4,1,1,1,3,1,1,1
1,1,1,45,1,19,1,1,1,1,1,1,1
1,2,1,30,1,29,1,1,1,3,1,1,1
1,3,1,1,1,2,1,1,1,3,1,1,1
1,2,1,1,1,2,1,1,1,3,1,1,1
1,2,1,1,1,3,1,1,1,8,1,1,1
1,1,1,49,1,45,1,1,1,1,1,1,1
1,7,1,247,1,79,1,1,1,6,1,1,1
1,1,1,6,1,6,1,1,1,1,1,1,1
1,1,1,22,1,22,1,1,1,8,1,1,1
1,1,1,37,1,37,1,1,1,1,1,1,1
1,3,1,54,1,13,1,1,1,4,1,1,1
1,2,1,11,1,11,1,1,1,1,1,1,1
1,1,1,10,1,10,1,1,1,2,1,1,1
1,5,1,79,1,28,1,1,1,7,1,1,1
1,4,1,68,1,24,1,1,1,4,1,1,1
1,1,1,4,1,4,1,1,1,2,1,1,1
1,1,1,35,1,35,1,1,1,3,1,1,1
1,2,1,37,1,37,1,1,1,3,1,1,1
1,2,1,47,1,37,1,1,1,2,1,1,1
1,1,1,18,1,13,1,1,1,1,1,1,1
1,1,1,36,1,16,1,1,1,1,1,1,1
1,2,1,20,1,20,1,1,1,6,1,1,1
1,1,1,42,1,32,1,1,1,1,1,1,1
1,4,1,20,1,16,1,1,1,1,1,1,1
1,5,1,27,1,27,1,1,1,2,1,1,1
1,2,1,17,1,7,1,1,1,6,1,1,1
1,1,1,17,1,10,1,1,1,2,1,1,1
1,6,1,28,1,11,1,1,1,2,1,1,1
1,2,1,1,1,4,1,1,1,1,1,1,1
1,3,1,1,1,10,1,1,1,1,1,1,1
1,2,1,23,1,23,1,1,1,3,1,1,1
1,1,1,49,1,49,1,1,1,4,1,1,1
1,2,1,44,1,44,1,1,1,1,1,1,1
1,1,1,21,1,21,1,1,1,1,1,1,1
1,1,1,17,1,17,1,1,1,3,1,1,1
1,2,1,50,1,31,1,1,1,1,1,1,1
1,5,1,30,1,30,1,1,1,2,1,1,1
1,2,1,78,1,61,1,1,1,3,1,1,1
1,1,1,6,1,3,1,1,1,1,1,1,1
1,7,1,91,1,8,1,1,1,5,1,1,1
1,2,1,1,1,1,1,1,1,6,1,1,1
1,1,1,7,1,7,1,1,1,2,1,1,1
1,2,1,6,1,6,1,1,1,13,1,1,1
1,2,1,1,1,2,1,1,1,6,1,1,1
1,2,1,1,1,1,1,1,1,11,1,1,1
1,1,1,1,1,1,1,1,1,5,1,1,1
1,4,1,37,1,37,1,1,1,2,1,1,1
1,1,1,23,1,23,1,1,1,9,1,1,1
1,5,1,84,1,8,1,1,1,2,1,1,1
1,1,1,36,1,36,1,1,1,3,1,1,1
1,3,1,49,1,49,1,1,1,2,1,1,1
1,1,1,9,1,9,1,1,1,1,1,1,1
1,2,1,26,1,26,1,1,1,4,1,1,1
1,8,1,11,1,11,1,1,1,1,1,1,1
1,1,1,1,1,5,1,1,1,2,1,1,1
1,2,1,29,1,29,1,1,1,2,1,1,1
1,6,1,17,1,17,1,1,1,3,1,1,1
1,1,1,8,1,8,1,1,1,3,1,1,1
1,1,1,29,1,29,1,1,1,6,1,1,1
1,2,1,100,1,42,1,1,1,3,1,1,1
1,2,1,75,1,13,1,1,1,2,1,1,1
1,3,1,5,1,5,1,1,1,4,1,1,1
1,4,1,1,1,4,1,1,1,1,1,1,1
1,3,1,259,1,23,1,1,1,2,1,1,1
1,2,1,32,1,32,1,1,1,2,1,1,1
1,2,1,1,1,1,1,1,1,4,1,1,1
1,9,1,8,1,8,1,1,1,4,1,1,1
1,2,1,1,1,2,1,1,1,3,1,1,1
1,2,1,12,1,12,1,1,1,7,1,1,1
1,4,1,1,1,4,1,1,1,1,1,1,1
1,1,1,14,1,14,1,1,1,1,1,1,1
1,3,1,49,1,33,1,1,1,1,1,1,1
1,1,1,1,1,4,1,1,1,1,1,1,1
1,3,1,34,1,34,1,1,1,5,1,1,1
1,1,1,1,1,2,1,1,1,11,1,1,1
1,1,1,22,1,22,1,1,1,2,1,1,1
1,3,1,11,1,11,1,1,1,5,1,1,1
1,1,1,1,1,5,1,1,1,1,1,1,1
1,4,1,8,1,8,1,1,1,5,1,1,1
1,9,1,1,1,2,1,1,1,3,1,1,1
1,2,1,40,1,40,1,1,1,4,1,1,1
1,1,1,64,1,42,1,1,1,1,1,1,1
1,4,1,76,1,8,1,1,1,3,1,1,1
1,2,1,34,1,14,1,1,1,1,1,1,1
1,7,1,41,1,41,1,1,1,7,1,1,1
1,2,1,81,1,81,1,1,1,1,1,1,1
1,2,1,1,1,3,1,1,1,1,1,1,1
1,1,1,88,1,63,1,1,1,2,1,1,1
1,1,1,44,1,44,1,1,1,1,1,1,1
1,4,1,7,1,7,1,1,1,1,1,1,1
1,3,1,47,1,38,1,1,1,6,1,1,1
1,2,1,31,1,13,1,1,1,2,1,1,1
1,1,1,261,1,31,1,1,1,4,1,1,1
1,5,1,18,1,11,1,1,1,2,1,1,1
1,1,1,30,1,14,1,1,1,5,1,1,1
1,1,1,1,1,4,1,1,1,3,1,1,1
1,1,1,34,1,34,1,1,1,10,1,1,1
1,4,1,1,1,7,1,1,1,9,1,1,1
1,2,1,1,1,9,1,1,1,1,1,1,1
1,1,1,70,1,70,1,1,1,9,1,1,1
1,5,1,45,1,45,1,1,1,1,1,1,1
1,4,1,94,1,94,1,1,1,13,1,1,1
1,3,1,20,1,20,1,1,1,1,1,1,1
