p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,13,1,29,1,26,1,1,1,1,1,1,1
1,1,1,50,1,50,1,1,1,1,1,1,1
1,1,1,1,1,5,1,1,1,14,1,1,1
1,3,1,84,1,31,1,1,1,2,1,1,1
1,6,1,73,1,23,1,1,1,1,1,1,1
1,1,1,1,1,5,1,1,1,2,1,1,1
1,2,1,57,1,53,1,1,1,5,1,1,1
1,3,1,32,1,12,1,1,1,4,1,1,1
1,1,1,78,1,5,1,1,1,7,1,1,1
1,1,1,57,1,8,1,1,1,1,1,1,1
1,2,1,47,1,46,1,1,1,6,1,1,1
1,1,1,88,1,16,1,1,1,1,1,1,1
1,1,1,12,1,12,1,1,1,4,1,1,1
1,1,1,47,1,47,1,1,1,2,1,1,1
1,2,1,1,1,2,1,1,1,4,1,1,1
1,3,1,105,1,38,1,1,1,3,1,1,1
1,2,1,20,1,10,1,1,1,7,1,1,1
1,4,1,11,1,11,1,1,1,4,1,1,1
1,1,1,8,1,8,1,1,1,5,1,1,1
1,4,1,44,1,44,1,1,1,1,1,1,1
1,1,1,13,1,13,1,1,1,2,1,1,1
1,3,1,121,1,11,1,1,1,1,1,1,1
1,1,1,23,1,6,1,1,1,4,1,1,1
1,1,1,26,1,21,1,1,1,2,1,1,1
1,1,1,133,1,115,1,1,1,2,1,1,1
1,3,1,24,1,24,1,1,1,1,1,1,1
1,2,1,114,1,90,1,1,1,3,1,1,1
1,6,1,1,1,2,1,1,1,1,1,1,1
1,2,1,1,1,4,1,1,1,3,1,1,1
1,1,1,19,1,9,1,1,1,5,1,1,1
1,1,1,3,1,3,1,1,1,1,1,1,1
1,2,1,26,1,14,1,1,1,1,1,1,1
1,2,1,1,1,3,1,1,1,1,1,1,1
1,1,1,38,1,38,1,1,1,4,1,1,1
1,1,1,1,1,8,1,1,1,2,1,1,1
1,2,1,28,1,28,1,1,1,4,1,1,1
1,2,1,30,1,11,1,1,1,9,1,1,1
1,1,1,6,1,6,1,1,1,2,1,1,1
1,1,1,122,1,39,1,1,1,1,1,1,1
1,4,1,69,1,29,1,1,1,4,1,1,1
1,1,1,47,1,47,1,1,1,2,1,1,1
1,1,1,34,1,34,1,1,1,3,1,1,1
1,1,1,33,1,30,1,1,1,5,1,1,1
1,1,1,7,1,7,1,1,1,4,1,1,1
1,1,1,209,1,19,1,1,1,1,1,1,1
1,2,1,7,1,7,1,1,1,3,1,1,1
1,3,1,1,1,1,1,1,1,15,1,1,1
1,4,1,70,1,70,1,1,1,2,1,1,1
1,4,1,29,1,12,1,1,1,1,1,1,1
1,4,1,102,1,100,1,1,1,2,1,1,1
1,2,1,32,1,15,1,1,1,4,1,1,1
1,1,1,39,1,23,1,1,1,8,1,1,1
1,1,1,3,1,3,1,1,1,5,1,1,1
1,1,1,10,1,10,1,1,1,5,1,1,1
1,1,1,17,1,17,1,1,1,4,1,1,1
1,2,1,76,1,75,1,1,1,3,1,1,1
1,4,1,42,1,25,1,1,1,3,1,1,1
1,1,1,54,1,54,1,1,1,1,1,1,1
1,1,1,2,1,2,1,1,1,3,1,1,1
1,1,1,1,1,3,1,1,1,8,1,1,1
1,5,1,38,1,11,1,1,1,3,1,1,1
1,5,1,13,1,13,1,1,1,2,1,1,1
1,1,1,112,1,112,1,1,1,4,1,1,1
1,7,1,61,1,61,1,1,1,2,1,1,1
1,1,1,118,1,63,1,1,1,2,1,1,1
1,3,1,30,1,30,1,1,1,11,1,1,1
1,2,1,102,1,3,1,1,1,6,1,1,1
1,5,1,1,1,2,1,1,1,3,1,1,1
1,1,1,30,1,22,1,1,1,1,1,1,1
1,5,1,26,1,20,1,1,1,22,1,1,1
1,1,1,49,1,17,1,1,1,5,1,1,1
1,1,1,35,1,35,1,1,1,5,1,1,1
1,6,1,66,1,66,1,1,1,2,1,1,1
1,5,1,104,1,26,1,1,1,5,1,1,1
1,2,1,127,1,80,1,1,1,3,1,1,1
1,9,1,44,1,36,1,1,1,2,1,1,1
1,2,1,12,1,12,1,1,1,5,1,1,1
1,3,1,252,1,24,1,1,1,5,1,1,1
1,1,1,1,1,1,1,1,1,4,1,1,1
1,4,1,81,1,81,1,1,1,1,1,1,1
1,5,1,21,1,15,1,1,1,3,1,1,1
1,3,1,35,1,35,1,1,1,5,1,1,1
1,6,1,26,1,26,1,1,1,1,1,1,1
1,5,1,144,1,40,1,1,1,2,1,1,1
1,3,1,14,1,14,1,1,1,2,1,1,1
1,1,1,38,1,5,1,1,1,3,1,1,1
1,2,1,70,1,37,1,1,1,3,1,1,1
1,1,1,81,1,30,1,1,1,12,1,1,1
1,1,1,1,1,3,1,1,1,5,1,1,1
1,1,1,12,1,12,1,1,1,4,1,1,1
1,1,1,1,1,14,1,1,1,6,1,1,1
1,1,1,5,1,5,1,1,1,4,1,1,1
1,1,1,1,1,1,1,1,1,6,1,1,1
1,3,1,17,1,13,1,1,1,3,1,1,1
1,4,1,1,1,1,1,1,1,5,1,1,1
1,8,1,88,1,88,1,1,1,2,1,1,1
1,1,1,53,1,15,1,1,1,1,1,1,1
1,1,1,90,1,13,1,1,1,1,1,1,1
1,2,1,70,1,23,1,1,1,10,1,1,1
1,1,1,13,1,13,1,1,1,1,1,1,1
1,1,1,46,1,21,1,1,1,3,1,1,1
1,5,1,46,1,15,1,1,1,1,1,1,1
1,1,1,34,1,34,1,1,1,4,1,1,1
1,2,1,71,1,71,1,1,1,12,1,1,1
1,11,1,29,1,11,1,1,1,7,1,1,1
1,2,1,79,1,64,1,1,1,3,1,1,1
1,2,1,45,1,40,1,1,1,2,1,1,1
1,2,1,1,1,2,1,1,1,3,1,1,1
1,1,1,15,1,15,1,1,1,1,1,1,1
1,6,1,41,1,6,1,1,1,1,1,1,1
1,4,1,17,1,17,1,1,1,3,1,1,1
1,5,1,1,1,6,1,1,1,1,1,1,1
1,1,1,1,1,13,1,1,1,2,1,1,1
1,2,1,112,1,47,1,1,1,3,1,1,1
1,2,1,91,1,13,1,1,1,1,1,1,1
1,1,1,58,1,27,1,1,1,5,1,1,1
1,1,1,43,1,18,1,1,1,1,1,1,1
1,1,1,18,1,3,1,1,1,1,1,1,1
1,1,1,1,1,5,1,1,1,8,1,1,1
1,2,1,80,1,4,1,1,1,11,1,1,1
1,2,1,5,1,5,1,1,1,2,1,1,1
1,1,1,1,1,2,1,1,1,1,1,1,1
1,2,1,40,1,6,1,1,1,1,1,1,1
1,1,1,131,1,13,1,1,1,3,1,1,1
1,2,1,1,1,3,1,1,1,10,1,1,1
1,1,1,40,1,40,1,1,1,1,1,1,1
1,7,1,1,1,2,1,1,1,1,1,1,1
1,2,1,1,1,2,1,1,1,4,1,1,1
1,2,1,229,1,32,1,1,1,4,1,1,1
1,1,1,11,1,11,1,1,1,4,1,1,1
1,1,1,1,1,4,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,4,1,1,1
1,1,1,4,1,4,1,1,1,1,1,1,1
1,5,1,7,1,7,1,1,1,2,1,1,1
1,1,1,54,1,54,1,1,1,5,1,1,1
1,2,1,51,1,45,1,1,1,7,1,1,1
1,3,1,12,1,12,1,1,1,1,1,1,1
1,4,1,4,1,4,1,1,1,3,1,1,1
1,3,1,1,1,2,1,1,1,1,1,1,1
1,1,1,38,1,38,1,1,1,3,1,1,1
1,3,1,29,1,25,1,1,1,1,1,1,1
1,5,1,4,1,4,1,1,1,9,1,1,1
1,7,1,51,1,4,1,1,1,6,1,1,1
1,2,1,27,1,11,1,1,1,7,1,1,1
1,1,1,28,1,21,1,1,1,6,1,1,1
1,2,1,4,1,4,1,1,1,3,1,1,1
1,2,1,21,1,21,1,1,1,1,1,1,1
1,2,1,98,1,38,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1,4,1,1,1
1,1,1,34,1,34,1,1,1,3,1,1,1
1,1,1,15,1,10,1,1,1,2,1,1,1
1,1,1,75,1,8,1,1,1,10,1,1,1
1,1,1,1,1,5,1,1,1,3,1,1,1
1,3,1,57,1,21,1,1,1,2,1,1,1
1,3,1,39,1,39,1,1,1,5,1,1,1
1,1,1,36,1,36,1,1,1,3,1,1,1
1,3,1,41,1,41,1,1,1,3,1,1,1
1,1,1,98,1,88,1,1,1,1,1,1,1
1,1,1,4,1,4,1,1,1,2,1,1,1
1,4,1,1,1,4,1,1,1,2,1,1,1
1,1,1,7,1,7,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1,4,1,1,1
1,1,1,61,1,35,1,1,1,6,1,1,1
1,1,1,3,1,3,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1,5,1,1,1
1,2,1,1,1,11,1,1,1,6,1,1,1
1,4,1,97,1,27,1,1,1,3,1,1,1
1,1,1,20,1,20,1,1,1,7,1,1,1
1,1,1,19,1,19,1,1,1,1,1,1,1
1,5,1,146,1,89,1,1,1,5,1,1,1
1,3,1,7,1,5,1,1,1,6,1,1,1
1,6,1,35,1,20,1,1,1,1,1,1,1
1,7,1,18,1,18,1,1,1,1,1,1,1
1,2,1,10,1,10,1,1,1,1,1,1,1
1,1,1,1,1,6,1,1,1,7,1,1,1
1,2,1,92,1,27,1,1,1,2,1,1,1
1,1,1,18,1,18,1,1,1,1,1,1,1
1,1,1,29,1,10,1,1,1,4,1,1,1
1,1,1,46,1,30,1,1,1,1,1,1,1
1,2,1,39,1,39,1,1,1,12,1,1,1
