p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,3,1,28,1,18,1,1,1,2,1,1,1
1,1,1,11,1,11,1,1,1,2,1,1,1
1,2,1,44,1,13,1,1,1,1,1,1,1
1,1,1,36,1,18,1,1,1,6,1,1,1
1,3,1,40,1,40,1,1,1,4,1,1,1
1,1,1,139,1,7,1,1,1,1,1,1,1
1,2,1,127,1,72,1,1,1,3,1,1,1
1,2,1,126,1,76,1,1,1,2,1,1,1
1,2,1,165,1,66,1,1,1,7,1,1,1
1,1,1,16,1,16,1,1,1,4,1,1,1
1,1,1,1,1,15,1,1,1,1,1,1,1
1,5,1,43,1,43,1,1,1,1,1,1,1
1,1,1,28,1,17,1,1,1,5,1,1,1
1,3,1,12,1,3,1,1,1,2,1,1,1
1,6,1,24,1,16,1,1,1,4,1,1,1
1,1,1,1,1,1,1,1,1,8,1,1,1
1,1,1,60,1,6,1,1,1,3,1,1,1
1,3,1,55,1,55,1,1,1,1,1,1,1
1,3,1,38,1,38,1,1,1,2,1,1,1
1,2,1,30,1,28,1,1,1,5,1,1,1
1,2,1,114,1,114,1,1,1,2,1,1,1
1,3,1,1,1,2,1,1,1,3,1,1,1
1,2,1,1,1,2,1,1,1,1,1,1,1
1,1,1,132,1,30,1,1,1,1,1,1,1
1,3,1,15,1,15,1,1,1,1,1,1,1
1,6,1,91,1,31,1,1,1,1,1,1,1
1,2,1,234,1,90,1,1,1,6,1,1,1
1,4,1,23,1,21,1,1,1,1,1,1,1
1,3,1,1,1,7,1,1,1,18,1,1,1
1,1,1,46,1,46,1,1,1,1,1,1,1
1,1,1,39,1,11,1,1,1,3,1,1,1
1,1,1,48,1,44,1,1,1,2,1,1,1
1,2,1,172,1,133,1,1,1,9,1,1,1
1,1,1,1,1,1,1,1,1,3,1,1,1
1,1,1,223,1,81,1,1,1,6,1,1,1
1,2,1,26,1,23,1,1,1,6,1,1,1
1,4,1,6,1,6,1,1,1,12,1,1,1
1,2,1,1,1,5,1,1,1,4,1,1,1
1,1,1,23,1,21,1,1,1,3,1,1,1
1,1,1,1,1,5,1,1,1,2,1,1,1
1,1,1,92,1,27,1,1,1,1,1,1,1
1,1,1,100,1,61,1,1,1,10,1,1,1
1,2,1,11,1,11,1,1,1,1,1,1,1
1,7,1,32,1,32,1,1,1,6,1,1,1
1,5,1,14,1,14,1,1,1,9,1,1,1
1,1,1,1,1,10,1,1,1,1,1,1,1
1,3,1,136,1,13,1,1,1,1,1,1,1
1,1,1,34,1,7,1,1,1,2,1,1,1
1,5,1,20,1,20,1,1,1,3,1,1,1
1,3,1,55,1,41,1,1,1,3,1,1,1
1,3,1,146,1,66,1,1,1,8,1,1,1
1,6,1,1,1,9,1,1,1,1,1,1,1
1,6,1,54,1,6,1,1,1,5,1,1,1
1,2,1,154,1,88,1,1,1,3,1,1,1
1,2,1,68,1,25,1,1,1,4,1,1,1
1,5,1,7,1,7,1,1,1,1,1,1,1
1,4,1,15,1,15,1,1,1,5,1,1,1
1,2,1,1,1,1,1,1,1,2,1,1,1
1,1,1,12,1,12,1,1,1,3,1,1,1
1,4,1,1,1,4,1,1,1,1,1,1,1
1,1,1,25,1,25,1,1,1,2,1,1,1
1,8,1,25,1,25,1,1,1,3,1,1,1
1,3,1,16,1,16,1,1,1,6,1,1,1
1,2,1,71,1,3,1,1,1,5,1,1,1
1,4,1,1,1,2,1,1,1,5,1,1,1
1,3,1,81,1,35,1,1,1,1,1,1,1
1,1,1,37,1,37,1,1,1,1,1,1,1
1,1,1,99,1,99,1,1,1,3,1,1,1
1,3,1,92,1,12,1,1,1,4,1,1,1
1,1,1,81,1,81,1,1,1,6,1,1,1
1,1,1,26,1,3,1,1,1,6,1,1,1
1,1,1,4,1,4,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,2,1,1,1
1,8,1,1,1,7,1,1,1,2,1,1,1
1,3,1,44,1,44,1,1,1,1,1,1,1
1,6,1,1,1,5,1,1,1,3,1,1,1
1,10,1,23,1,23,1,1,1,3,1,1,1
1,2,1,12,1,12,1,1,1,4,1,1,1
1,1,1,53,1,46,1,1,1,9,1,1,1
1,2,1,21,1,21,1,1,1,1,1,1,1
1,1,1,5,1,5,1,1,1,1,1,1,1
1,5,1,17,1,17,1,1,1,4,1,1,1
1,1,1,39,1,39,1,1,1,2,1,1,1
1,4,1,23,1,23,1,1,1,2,1,1,1
1,4,1,53,1,53,1,1,1,3,1,1,1
1,5,1,51,1,33,1,1,1,3,1,1,1
1,1,1,1,1,7,1,1,1,1,1,1,1
1,2,1,19,1,19,1,1,1,1,1,1,1
1,1,1,65,1,22,1,1,1,3,1,1,1
1,7,1,1,1,2,1,1,1,1,1,1,1
1,1,1,23,1,23,1,1,1,2,1,1,1
1,9,1,36,1,36,1,1,1,1,1,1,1
1,10,1,89,1,50,1,1,1,1,1,1,1
1,4,1,58,1,49,1,1,1,1,1,1,1
1,1,1,200,1,83,1,1,1,1,1,1,1
1,3,1,11,1,11,1,1,1,1,1,1,1
1,1,1,17,1,17,1,1,1,4,1,1,1
1,6,1,139,1,7,1,1,1,3,1,1,1
1,4,1,65,1,65,1,1,1,3,1,1,1
1,2,1,19,1,18,1,1,1,7,1,1,1
