p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,2,1,193,2,28,1,1,1,1,3,1,1
1,3,1,1,29,8,2,1,1,1,3,1,1
1,3,2,1,51,5,2,1,1,1,3,1,2
1,4,1,1,56,4,1,1,1,1,4,1,1
1,2,1,18,43,8,1,1,1,1,5,1,1
1,3,1,1,102,3,2,1,1,1,3,1,1
1,2,1,1,49,1,1,1,1,1,2,1,1
1,1,1,1,38,5,1,1,1,1,1,1,1
1,2,1,1,44,9,7,1,1,1,2,1,1
1,1,1,1,168,24,2,1,1,1,1,1,1
1,9,1,48,134,8,1,1,1,1,9,1,1
1,1,1,1,213,6,2,1,1,1,1,1,1
1,2,1,1,27,1,1,1,1,1,2,1,1
1,1,1,41,66,18,1,1,1,1,1,1,1
1,2,1,1,35,1,2,1,1,1,2,1,1
1,3,1,1,62,1,4,1,1,1,4,1,1
1,6,2,1,14,4,5,1,1,1,6,1,2
1,1,1,66,60,8,3,1,1,1,1,1,1
1,1,1,140,8,24,3,1,1,1,1,1,1
1,2,2,45,61,38,2,1,1,1,2,1,2
1,1,1,1,102,1,1,1,1,1,1,1,1
1,1,1,1,383,2,5,1,1,1,1,1,1
1,1,1,1,82,1,1,1,1,1,1,1,1
1,1,1,1,144,1,2,1,1,1,1,1,1
1,1,3,1,54,3,3,1,1,1,3,1,3
1,9,1,1,108,2,5,1,1,1,9,1,1
1,2,1,1,152,8,1,1,1,1,2,1,1
1,2,2,1,177,2,2,1,1,1,2,1,2
1,3,1,23,52,15,3,1,1,1,3,1,1
1,1,1,1,11,4,2,1,1,1,1,1,1
1,1,1,26,116,7,1,1,1,1,1,1,1
1,1,1,119,216,26,2,1,1,1,1,1,1
1,1,1,91,12,11,1,1,1,1,1,1,1
1,4,1,1,8,7,1,1,1,1,5,1,1
1,2,2,1,123,2,2,1,1,1,2,1,2
1,1,1,29,29,11,1,1,1,1,1,1,1
1,1,1,1,75,1,4,1,1,1,1,1,1
1,4,1,1,26,5,1,1,1,1,4,1,1
1,1,1,1,38,1,5,1,1,1,1,1,1
1,3,1,1,54,2,1,1,1,1,3,1,1
1,3,1,40,126,9,1,1,1,1,3,1,1
1,1,1,56,56,7,1,1,1,1,1,1,1
1,3,2,18,247,2,7,1,1,1,3,1,2
1,2,1,1,3,3,2,1,1,1,2,1,1
1,3,1,1,26,1,1,1,1,1,4,1,1
1,6,1,1,243,1,1,1,1,1,7,1,1
1,1,1,1,25,3,3,1,1,1,1,1,1
1,2,1,48,104,12,1,1,1,1,3,1,1
1,4,1,1,242,2,1,1,1,1,4,1,1
1,5,1,1,88,1,1,1,1,1,6,1,1
1,1,1,1,202,3,1,1,1,1,1,1,1
1,3,1,1,54,5,4,1,1,1,3,1,1
1,1,2,91,105,3,3,1,1,1,1,1,2
1,1,1,1,89,8,1,1,1,1,1,1,1
1,5,1,1,61,4,4,1,1,1,7,1,1
1,2,1,14,74,9,2,1,1,1,2,1,1
1,4,1,1,22,6,1,1,1,1,4,1,1
1,1,2,76,96,13,3,1,1,1,2,1,2
1,1,1,1,219,7,1,1,1,1,1,1,1
1,3,1,80,208,8,3,1,1,1,3,1,1
1,4,2,51,75,4,2,1,1,1,4,1,2
1,9,1,1,99,7,3,1,1,1,9,1,1
1,2,2,19,155,5,2,1,1,1,2,1,2
1,1,1,1,19,3,3,1,1,1,1,1,1
1,1,1,1,75,2,2,1,1,1,1,1,1
1,2,1,1,90,1,1,1,1,1,3,1,1
1,11,1,74,171,5,3,1,1,1,12,1,1
1,3,1,1,124,5,7,1,1,1,3,1,1
1,8,1,1,28,2,1,1,1,1,8,1,1
1,5,1,1,10,17,4,1,1,1,5,1,1
1,5,3,63,64,19,8,1,1,1,5,1,3
1,3,2,1,29,4,2,1,1,1,4,1,2
1,2,1,51,146,13,1,1,1,1,2,1,1
1,1,1,1,87,3,1,1,1,1,1,1,1
1,3,1,57,57,10,4,1,1,1,3,1,1
1,1,1,1,61,4,4,1,1,1,1,1,1
1,1,2,12,41,12,2,1,1,1,2,1,2
1,3,1,1,53,6,1,1,1,1,3,1,1
1,3,3,22,175,3,3,1,1,1,3,1,3
1,2,1,1,36,3,3,1,1,1,2,1,1
1,2,2,1,15,1,2,1,1,1,2,1,2
1,1,1,20,142,15,1,1,1,1,1,1,1
1,1,1,1,45,2,2,1,1,1,1,1,1
1,6,1,17,128,16,1,1,1,1,7,1,1
1,2,2,1,148,4,3,1,1,1,2,1,2
1,4,1,1,48,12,1,1,1,1,4,1,1
1,2,1,1,104,1,1,1,1,1,3,1,1
1,2,1,1,56,2,1,1,1,1,3,1,1
1,4,1,1,43,2,2,1,1,1,4,1,1
1,1,1,8,166,8,11,1,1,1,1,1,1
1,7,2,1,161,3,2,1,1,1,9,1,2
1,3,2,1,82,3,5,1,1,1,4,1,2
1,2,1,1,166,1,6,1,1,1,3,1,1
1,7,1,1,61,4,1,1,1,1,7,1,1
1,3,1,1,451,4,4,1,1,1,3,1,1
1,1,2,1,12,4,3,1,1,1,1,1,2
1,8,1,12,49,11,3,1,1,1,8,1,1
1,2,1,1,37,2,2,1,1,1,2,1,1
1,2,4,155,40,11,7,1,1,1,2,1,4
1,2,1,1,64,1,2,1,1,1,2,1,1
