TCV, , , , , , , , , , , , ,Grammar
p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,1,1,1,1,22,1,15,1,1,15,25,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,30,1,16,1,1,16,18,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,2,1,7,1,1,3,25,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,3,1,12,1,6,1,1,8,36,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,3,1,1,1,1,4,21,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,29,1,9,1,1,5,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,1,1,2,1,1,17,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1
1,1,1,1,1,20,1,4,1,1,2,21,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,23,1,2,1,1,8,9,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,1,1,10,1,1,15,54,1,0,0,0,1,0,0,1,1,0,0,0,1,1
