TCV, , , , , , , , , , , , ,Grammar
p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,2,1,1,31,4,4,1,1,1,4,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,2,1,18,2,2,1,1,1,2,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,2,1,53,53,23,2,1,1,1,2,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,4,2,44,44,16,7,1,1,1,5,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,2,2,5,5,5,2,1,1,1,2,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,4,1,11,39,11,4,1,1,1,4,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,2,3,1,2,2,7,1,1,1,2,1,3,0,1,1,0,1,1,0,0,0,0,0,0,0
1,2,1,1,2,2,8,1,1,1,4,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,1,21,68,21,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,6,1,1,23,1,1,1,1,1,6,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,2,1,28,4,7,1,1,1,2,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,3,1,318,77,3,1,1,1,1,3,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,6,1,1,167,5,1,1,1,1,6,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,6,1,1,6,3,1,1,1,1,7,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,3,2,12,235,12,2,1,1,1,3,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,3,1,1,32,1,1,1,1,1,4,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,2,1,114,2,2,1,1,1,2,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,1,1,204,4,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,2,1,1,52,4,5,1,1,1,3,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,2,1,1,3,3,1,1,1,1,2,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,1,1,33,8,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,3,1,44,44,5,1,1,1,1,5,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,2,1,12,5,3,1,1,1,2,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,6,2,54,51,20,2,1,1,1,6,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,2,1,1,54,1,1,1,1,1,2,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,2,1,1,33,1,1,1,1,1,2,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,3,1,1,179,6,6,1,1,1,3,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,2,1,16,169,9,4,1,1,1,4,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,1,36,147,8,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,2,1,1,13,1,1,1,1,1,2,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,2,1,19,18,19,1,1,1,1,2,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,1,1,124,2,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,4,1,1,8,3,2,1,1,1,4,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,2,1,108,76,21,5,1,1,1,5,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,2,1,7,10,2,1,1,1,2,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,1,1,23,3,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,3,2,158,33,11,4,1,1,1,3,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,2,2,1,134,7,5,1,1,1,2,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,3,1,15,17,15,1,1,1,1,4,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,1,5,20,5,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,3,1,7,26,7,2,1,1,1,6,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,2,1,1,172,5,2,1,1,1,2,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,5,1,1,340,1,1,1,1,1,6,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,4,1,143,143,5,15,1,1,1,4,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,3,2,1,48,4,4,1,1,1,3,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,5,1,47,17,7,1,1,1,1,6,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,3,1,123,26,7,1,1,1,1,3,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,3,2,1,14,1,2,1,1,1,4,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,4,1,1,24,1,1,1,1,1,4,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,3,1,28,57,10,2,1,1,1,3,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,7,1,14,117,14,3,1,1,1,9,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,2,2,62,98,5,2,1,1,1,2,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,3,1,1,44,2,1,1,1,1,4,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,3,1,1,122,2,1,1,1,1,3,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,2,1,148,3,5,1,1,1,2,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,4,35,109,4,4,1,1,1,4,1,4,0,1,1,0,1,1,0,0,0,0,0,0,0
1,2,1,85,24,7,5,1,1,1,2,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,1,54,39,9,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,2,42,265,38,2,1,1,1,2,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,3,26,447,11,5,1,1,1,3,1,3,0,1,1,0,1,1,0,0,0,0,0,0,0
1,5,1,1,19,6,1,1,1,1,5,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,4,1,1,70,1,6,1,1,1,6,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,2,1,1,11,1,2,1,1,1,2,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,2,22,101,22,3,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,5,1,205,2,5,1,1,1,5,1,5,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,1,1,46,8,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,3,1,1,86,5,1,1,1,1,4,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,2,1,14,168,12,1,1,1,1,2,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,4,2,1,57,5,2,1,1,1,5,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,2,1,89,5,2,1,1,1,2,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,3,2,41,41,3,3,1,1,1,3,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,3,1,14,14,14,4,1,1,1,3,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,2,1,1,121,1,1,1,1,1,4,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,3,2,1,84,1,2,1,1,1,4,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,4,1,7,28,5,2,1,1,1,4,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,1,1,38,14,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,3,1,1,233,6,3,1,1,1,3,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,2,1,1,234,5,7,1,1,1,3,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
