TCV, , , , , , , , , , , , ,Grammar
p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,7,1,1,89,4,1,1,1,1,8,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,2,1,98,4,4,1,1,1,2,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,4,1,13,49,6,14,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,12,171,12,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,1,56,4,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,4,1,21,19,9,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,2,17,30,4,2,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,1,0,0
1,4,1,36,247,23,4,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,4,1,12,122,12,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,9,2,173,23,21,3,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,26,26,7,7,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,1,90,2,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,10,1,105,155,29,18,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,3,1,1,78,1,1,1,1,1,4,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,9,3,100,156,8,5,1,1,1,1,1,3,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,23,100,3,3,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,5,1,92,122,11,3,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,4,2,224,138,9,4,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,3,9,24,7,3,1,1,1,3,1,3,0,1,1,0,1,1,0,0,0,0,0,0,0
1,2,1,1,93,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,1,177,3,5,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,3,4,116,4,5,1,1,1,1,1,3,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,2,1,1,1,2,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,1,0,0
1,3,2,1,41,4,2,1,1,1,4,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,2,1,35,130,10,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,3,1,99,88,8,7,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,5,1,1,21,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,1,3,2,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,3,19,36,12,5,1,1,1,1,1,3,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,1,187,2,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
