TCV, , , , , , , , , , , , ,Grammar
p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
0,1,0,6,1,0,3,0,1,0,2,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,1,57,0,4,0,2,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,3,0,1,304,0,0,0,0,0,3,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,2,0,6,80,0,0,0,1,0,2,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,9,92,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,3,0,13,88,0,0,0,0,0,3,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,5,0,1,12,0,0,0,0,0,5,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,2,194,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,4,20,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,5,52,0,10,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,2,21,1,0,6,0,0,0,0,0,2,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,1,4,98,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,9,11,0,5,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,1,0,7,14,0,5,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,1,0,2,97,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,17,131,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,1,14,79,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,1,5,88,0,10,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,2,55,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,4,0,7,31,0,0,0,0,0,4,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,1,2,0,62,0,5,0,0,0,2,0,2,0,1,1,1,1,0,0,0,1,0,0,0,0
0,4,0,14,15,0,0,0,1,0,4,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,3,73,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,2,0,6,99,0,4,0,2,0,2,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,1,18,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
0,1,0,28,20,0,3,0,0,0,2,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,3,0,6,7,0,0,0,1,0,3,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,14,0,4,174,0,0,0,0,0,14,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,2,1,3,64,0,6,0,0,0,4,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
0,1,1,0,231,0,6,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,1,21,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,1,0,9,44,0,5,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,2,0,13,6,0,0,0,0,0,2,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,3,0,6,96,0,0,0,2,0,3,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,1,0,20,35,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,3,1,0,150,0,2,0,1,0,3,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
0,1,0,28,102,0,2,0,0,0,2,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,1,0,13,3,0,0,0,2,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,2,0,11,22,0,1,0,0,0,2,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,7,11,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,3,1,4,24,0,6,0,1,0,3,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,5,24,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,1,0,22,93,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,2,0,10,384,0,0,0,0,0,4,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
