p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,1,1,1,1,55,1,1,1,1,1,1,2
1,1,1,1,1,12,1,1,1,1,1,1,8
1,1,1,1,1,36,1,1,1,3,1,1,3
1,1,1,3,1,6,1,1,1,2,1,1,2
1,1,1,1,1,37,1,1,1,5,1,1,5
1,1,1,1,1,41,1,1,1,2,1,1,5
1,1,1,4,1,47,1,1,1,7,1,1,1
1,1,1,1,1,23,1,1,1,12,1,1,4
1,1,1,1,1,9,1,1,1,12,1,1,2
1,1,1,2,1,39,1,1,1,5,1,1,1
1,1,1,3,1,27,1,1,1,2,1,1,2
1,1,1,2,1,7,1,1,1,2,1,1,1
1,1,1,3,1,5,1,1,1,7,1,1,1
1,1,1,1,1,3,1,1,1,2,1,1,2
1,1,1,1,1,56,1,1,1,5,1,1,6
1,1,1,2,1,25,1,1,1,12,1,1,1
1,1,1,2,1,45,1,1,1,2,1,1,1
1,1,1,3,1,18,1,1,1,12,1,1,1
1,1,1,1,1,63,1,1,1,14,1,1,6
1,1,1,2,1,8,1,1,1,2,1,1,1
1,1,1,4,1,46,1,1,1,19,1,1,1
1,1,1,1,1,2,1,1,1,3,1,1,2
1,1,1,4,1,104,1,1,1,3,1,1,2
1,1,1,2,1,30,1,1,1,1,1,1,1
1,1,1,1,1,4,1,1,1,5,1,1,4
1,1,1,1,1,148,1,1,1,3,1,1,3
1,1,1,2,1,17,1,1,1,1,1,1,1
1,1,1,4,1,8,1,1,1,5,1,1,2
1,1,1,2,1,22,1,1,1,15,1,1,1
1,1,1,3,1,11,1,1,1,8,1,1,1
1,1,1,1,1,18,1,1,1,1,1,1,5
1,1,1,2,1,31,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,2,1,1,1
1,1,1,5,1,31,1,1,1,2,1,1,1
1,1,1,2,1,42,1,1,1,6,1,1,1
1,1,1,1,1,42,1,1,1,1,1,1,4
1,1,1,1,1,7,1,1,1,3,1,1,2
1,1,1,5,1,69,1,1,1,1,1,1,1
1,1,1,1,1,28,1,1,1,3,1,1,5
1,1,1,2,1,56,1,1,1,2,1,1,1
1,1,1,3,1,37,1,1,1,2,1,1,1
1,1,1,2,1,31,1,1,1,9,1,1,1
1,1,1,1,1,33,1,1,1,3,1,1,8
1,1,1,3,1,97,1,1,1,3,1,1,1
1,1,1,2,1,31,1,1,1,2,1,1,1
1,1,1,1,1,14,1,1,1,8,1,1,2
1,1,1,1,1,7,1,1,1,2,1,1,2
1,1,1,1,1,12,1,1,1,1,1,1,2
1,1,1,1,1,20,1,1,1,4,1,1,2
1,1,1,1,1,2,1,1,1,4,1,1,2
1,1,1,1,1,1,1,1,1,3,1,1,1
1,1,1,1,1,66,1,1,1,17,1,1,5
1,1,1,2,1,28,1,1,1,2,1,1,1
1,1,1,2,1,14,1,1,1,2,1,1,1
1,1,1,2,1,28,1,1,1,5,1,1,5
1,1,1,1,1,44,1,1,1,1,1,1,7
1,1,1,1,1,29,1,1,1,2,1,1,2
1,1,1,2,1,21,1,1,1,13,1,1,1
