 observation,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
eChild #74,0,0,0,1,0,0,0,2,0,0,4,12,0
eChild #75,0,0,0,2,0,0,0,2,0,0,5,6,0
eChild #76,0,0,0,2,0,0,0,9,0,0,10,19,0
eChild #77,0,0,0,0,0,0,0,0,0,0,0,8,0
eChild #78,0,0,0,0,0,0,0,23,0,0,3,10,0
eChild #79,0,0,0,0,0,0,0,7,0,0,7,15,0
eChild #80,0,0,0,0,0,0,0,17,0,0,2,1,0
eChild #81,0,0,0,0,0,0,0,5,0,0,1,6,0
eChild #82,0,0,0,0,0,0,0,19,0,0,18,1,0
eChild #83,0,0,0,1,0,0,0,21,0,0,6,5,0
eChild #84,0,0,0,1,0,0,0,9,0,0,4,8,0
eChild #85,0,0,0,0,0,0,0,7,0,0,4,9,0
eChild #86,0,0,0,1,0,0,0,9,0,0,1,20,0
eChild #87,0,0,0,0,0,0,0,0,0,0,0,6,0
eChild #88,0,0,0,0,0,0,0,9,0,0,1,0,0
eChild #89,0,0,0,1,0,0,0,0,0,0,2,4,0
eChild #90,0,0,0,0,0,0,0,12,0,0,5,8,0
eChild #91,0,0,0,2,0,0,0,13,0,0,8,13,0
eChild #92,0,0,0,0,0,0,0,22,0,0,6,2,0
eChild #93,0,0,0,3,0,0,0,14,0,0,3,9,0
eChild #94,0,0,0,0,0,0,0,2,0,0,7,2,0
eChild #95,0,0,0,0,0,0,0,14,0,0,33,0,0
eChild #96,0,0,0,4,0,0,0,28,0,0,4,37,0
eChild #97,0,0,0,0,0,0,0,8,0,0,11,13,0
eChild #98,0,0,0,6,0,0,0,18,0,0,7,6,0
eChild #99,0,0,0,0,0,0,0,13,0,0,2,24,0
eChild #100,0,0,0,2,0,0,0,0,0,0,3,13,0
